drug_id,drug_name,drug_synonyms,status,type,main_pubmed,main_doi,smiles,structure_image,chebi_id,pubchem_cid,pubchem_sid,moa,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,created_at,updated_at
RDC00040,[99mTc]Tc-6-3,99mTc-FAPI-46-Gly-Ser-Ser,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-3 is a radiopharmaceutical featuring the 6-3 peptide labeled with the radionuclide Technetium-99m, which acts by specifically binding to the FAP target on tumor cells or neovascular endothelial cells for the SPECT diagnosis and treatment response monitoring of solid tumors",,,,,,
RDC00041,[99mTc]Tc-6-4,99mTc-FAPI-46-Gly-Lys-Lys,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-4 is a radiopharmaceutical consisting of the 6-4 peptide labeled with the radionuclide Technetium-99m, which acts by specifically binding to the FAP target on tumor and neovascular surfaces for the SPECT diagnosis and molecular staging of malignant solid tumors",,,,,,
RDC00042,[99mTc]Tc-6-5,99mTc-FAPI-46-Gly-Arg-Arg,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-5 is a radiopharmaceutical comprising the 6-5 peptide labeled with the radionuclide Technetium-99m, which functions by specifically binding to the FAP overexpressed in tumor tissues for the SPECT diagnosis and precision imaging of various malignant tumors.",,,,,,
RDC00043,[99mTc]Tc-6-6,99mTc-FAPI-46-Gly-PEG4-PEG4,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-6 is a radiopharmaceutical consisting of the 6-6 peptide labeled with the radionuclide Technetium-99m, which acts by specifically targeting the FAP overexpressed in tumor lesions for the SPECT diagnosis, angiogenesis assessment, and post-operative monitoring of malignant solid tumors.",,,,,,
RDC00044,[99mTc][Tc-(CN-C5FAPI)6]+,99mTc-(CN-C5FAPI)6;99mTc-isocyanide-FAPI,Preclinical,Diagnosis,34904839,10.1021/acs.molpharmaceut.1c00712,,,,,,"[99mTc][Tc-(CN-C5FAPI)6]+ is a 99mTc-labeled hexacoordinated cationic fibroblast activation protein inhibitor, complexed via isocyanide groups, that targets FAP for SPECT diagnostic imaging, primarily used for the lesion detection and staging of solid tumors such as breast, colorectal, and lung cancers.",,,,,,
RDC00045,[99mTc][Tc-(CN-PEG4-FAPI)6]+,99mTc-(CN-PEG4-FAPI)6;99mTc-hexakis-isocyanide-PEG4-FAPI,Preclinical,Diagnosis,34904839,10.1021/acs.molpharmaceut.1c00712,,,,,,"[99mTc][Tc-(CN-PEG4-FAPI)6]+ is a 99mTc-labeled hexacoordinated cationic fibroblast activation protein inhibitor, complexed via isocyanide groups with a PEG4 linker, that targets FAP for SPECT diagnostic imaging of solid tumors like breast, lung, and liver cancers, utilizing PEGylation to optimize pharmacokinetics and improve image contrast.",,,,,,
RDC00046,[99mTc]Tc-TPPTS-HF2,99mTc-TPPTS-HF2;99mTc-nitrido-TPPTS-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-TPPTS-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor derivative, that targets FAP for SPECT diagnostic imaging, primarily indicated for the non-invasive detection of solid tumors such as breast, non-small cell lung, and gastrointestinal cancers, offering high hydrophilicity and rapid blood clearance.",,,,,,
RDC00047,[99mTc]Tc-EDDA-HF2,99mTc-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-EDDA-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor, that targets FAP for SPECT diagnostic imaging, primarily utilized for the precise staging and lesion detection of solid tumors such as breast, lung, and nasopharyngeal cancers.",,,,,,
RDC00048,[99mTc]Tc-TPPMS HF2,99mTc-TPPMS-HF2;99mTc-labeled FAPI-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-TPPMS-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor, that targets FAP for SPECT diagnostic imaging, primarily used for lesion identification in solid tumors like breast, lung, and head and neck cancers while optimizing biodistribution and contrast via ligand tuning.",,,,,,
RDC00049,[68Ga]Ga-Alb-FAPtp-01,68Ga-Alb-FAPtp-01;68Ga-FAPtp-01,Preclinical,Diagnosis,34415143,10.1021/acssensors.1c01316,O=C1O[68Ga+3]23456[N](CC(O4)=O)(CC[N](CC(O6)=O)5CC7)CC[N@@](CC(NC(C(NCCOCCOCCOCCOCCOCCOCCOCCOCCC(NC(C(NCC(N8CC(F)(CC8C(O)=O)F)=O)=O)CC9=CNC%10=C9C=CC=C%10)=O)=O)CCCCNC(CCCC%11=CC=C(C=C%11)Cl)=O)=O)2CC[N]73C1,DSTR00049,,,,"[68Ga]Ga-Alb-FAPtp-01 is a 68Ga-labeled fibroblast activation protein inhibitor,conjugated with an Evans Blue derivative (Alb) for albumin binding, that targets FAP for PET/CT diagnostic imaging of solid tumors like liver and lung cancers, utilizing its albumin-binding property to prolong blood circulation and enhance tumor uptake.",,,,,,
RDC00050,[68Ga]Ga-FAPtp,68Ga-FAPtp,Preclinical,Diagnosis,34415143,10.1021/acssensors.1c01316,O=C1C[N@@]23CC[N@]4(CC[N]5(CC(O6)=O)CC[N]7(CC3)CC(O[68Ga+3]57246O1)=O)CC(NCCOCCOCCOCCOCCOCCOCCOCCOCCC(NC(CC8=CNC9=C8C=CC=C9)C(NCC(N%10CC(CC%10C(O)=O)(F)F)=O)=O)=O)=O,DSTR00050,,,,"[68Ga]Ga-FAPtp is a radiopharmaceutical consisting of FAPtp labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of various solid tumors such as pancreatic or gastric cancer.",,,,,,
RDC00051,[111In]In-FAP6-19,111In-FAP6-Albumin Binder;Indium-111 FAP6-19,Preclinical,Diagnosis,39013156,10.1021/acs.jmedchem.4c00448,IC1=CC=C(CCCC(NCC2=CC=C(C(N[C@H](C(N3CCN(CC3)CC4=CC=CC5=C4CN(C(C[C@@H]6C[C@@H](C(N7[C@H](C#N)CC(C7)(F)F)=O)NC6=O)=O)C5)=O)CCCCNC(C[N@]89CC[N]%10(CC(O%11)=O)CC[N]%12%13CC(O[111In+3]%108%12%14%11[N](CC(O%14)=O)(CC9)CC%13)=O)=O)=O)C=C2)=O)C=C1,DSTR00051,,,,"[111In]In-FAP6-19 is a radiopharmaceutical consisting of FAP6-19 labeled with Indium-111, targeting fibroblast activation protein (FAP) for the SPECT diagnosis of various solid tumors like pancreatic or lung cancer.",,,,,,
RDC00053,[99mTc]Tc-L1,99mTc-HYNIC-(D-Pro-Gly)2-FAPI,Preclinical,Diagnosis,36972467,10.1021/acs.jmedchem.2c02062,,,,,,"[99mTc]Tc-L1 is a radiopharmaceutical consisting of L1 labeled with Technetium-99m, targeting FAP receptors overexpressed in tissues for the SPECT diagnosis of associated malignant tumors.",,,,,,
RDC00054,[99mTc]Tc-L2,99mTc-HYNIC-(D-Pro-Gly)6-FAPI,Preclinical,Diagnosis,36972467,10.1021/acs.jmedchem.2c02062,,,,,,"[99mTc]Tc-L2 is a radiopharmaceutical consisting of L2 labeled with Technetium-99m, targeting fibroblast activation protein (FAP) for the SPECT diagnosis of solid tumors such as gastrointestinal or lung cancer.",,,,,,
RDC00055,[111In]In-QCP01,[111In]In-(4-quinolinoyl)-glycyl-2-cyanopyrrolidine,Preclinical,Diagnosis,33730493,10.1021/acs.jmedchem.0c02171,,,,,,"[111In]In-QCP01 is a radiopharmaceutical consisting of QCP01 labeled with Indium-111, targeting gastrin-releasing peptide receptor (GRPR) for the SPECT diagnosis of prostate or breast cancer.",,,,,,
RDC00056,[111In]In-QCP02,111In-labeled FAP-targeted agent QCP02,Preclinical,Diagnosis,33730493,10.1021/acs.jmedchem.0c02171,O=C(NCC(N1[C@H](C#N)CCC1)=O)C2=CC=NC3=CC=C(OCCCNC(CCC(C(O4)=O)[N]56CC[N]7(CC[N@@]89CC(O[111In+3]857%104[N](CC(O%10)=O)(CC6)CC9)=O)CC(O)=O)=O)C=C23,DSTR00056,,,,"[111In]In-QCP02 is a radiopharmaceutical consisting of QCP02 labeled with Indium-111, targeting gastrin-releasing peptide receptor (GRPR) for the SPECT diagnosis of prostate or breast cancer.",,,,,,
RDC00058,Al[18F]F-NSF,[18F]AlF-NSF,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,N[C@H](C(NCCSC1CC(N(C1=O)CCNC(C[N]23CC[N]4(CC[N](CC3)5CC(O6)=O)CC(O[Al]2456[18F])=O)=O)=O)=O)CCCCNC(CCC(NC7=CC=CC8=C7N=CC=C8C(NCC(N9[C@@H](CC(F)(C9)F)C#N)=O)=O)=O)=O,DSTR00058,,,,"Al[18F]F-NSF is a radiopharmaceutical consisting of NSF labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as gastric or lung cancer.",,,,,,
RDC00059,Al[18F]F-NSFB,[18F]AlF-NSFB,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,O=C(CC1SCCNC([C@@H](NC(CCCC[C@H]2[C@]([H])([C@]([H])(CS2)N3)NC3=O)=O)CCCCNC(CCC(NC4=CC=CC5=C4N=CC=C5C(NCC(N6[C@@H](CC(F)(C6)F)C#N)=O)=O)=O)=O)=O)N(C1=O)CCNC(C[N]78CC[N@@]9(CC[N](CC8)%10CC(O%11)=O)CC(O[Al]97%10%11[18F])=O)=O,DSTR00059,,,,"Al[18F]F-NSFB is a radiopharmaceutical consisting of NSFB labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of various solid tumors such as pancreatic or gastric cancer.",,,,,,
RDC00060,Al[18F]F-NSFBP2,[18F]AlF-NSFBP2,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,O=C(CC1SCCNC([C@@H](NC(CCOCCOCCNC(CCCC[C@H]2[C@]([H])([C@]([H])(CS2)N3)NC3=O)=O)=O)CCCCNC(CCC(NC4=CC=CC5=C4N=CC=C5C(NCC(N6[C@@H](CC(F)(C6)F)C#N)=O)=O)=O)=O)=O)N(C1=O)CCNC(C[N]78CC[N]9(CC[N@@](CC8)%10CC(O%11)=O)CC(O[Al]97%10%11[18F])=O)=O,DSTR00060,,,,"Al[18F]F-NSFBP2 is a radiopharmaceutical consisting of NSFBP2 labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as gastric or esophageal cancer.",,,,,,
RDC00061,Al[18F]F-NSFBP4,[18F]AlF-NSFBP4,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,O=C(CC1SCCNC([C@@H](NC(CCOCCOCCOCCOCCNC(CCCC[C@H]2[C@]([H])([C@]([H])(CS2)N3)NC3=O)=O)=O)CCCCNC(CCC(NC4=CC=CC5=C4N=CC=C5C(NCC(N6[C@@H](CC(F)(C6)F)C#N)=O)=O)=O)=O)=O)N(C1=O)CCNC(C[N]78CC[N@@]9(CC[N](CC8)%10CC(O%11)=O)CC(O[Al]97%10%11[18F])=O)=O,DSTR00061,,,,"Al[18F]F-NSFBP4 is a radiopharmaceutical consisting of NSFBP4 labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) with high affinity for the PET diagnosis of various solid tumors (e.g., gastric or liver cancer).",,,,,,
RDC00062,[68Ga]Ga-FSDD0I,68Ga-labeled FAP inhibitor FSDD0I,Preclinical,Diagnosis,35658448,10.1021/acs.jmedchem.1c02162,O=C(CCC(N1CCN(CC1)CCCOC2=CC=C3C(C(C(NCC(N4[C@]([H])(C#N)CC(F)(C4)F)=O)=O)=CC=N3)=C2)=O)NCCCC[C@@H](C(NCCSC5CC(N(C5=O)CCNC(C[N]67CC[N@@]89CC(O[68Ga+3]68%10%11%12[N](CC(O%12)=O)(CC7)CC[N](CC(O%11)=O)%10CC9)=O)=O)=O)=O)NC([C@H](CC(O)=O)NCCCCC%13=CC=C(C=C%13)I)=O,DSTR00062,,,,"[68Ga]Ga-FSDD0I is a radiopharmaceutical consisting of FSDD0I labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as pancreatic or gastric cancer.",,,,,,
RDC00063,[177Lu]Lu-FSDD0I,177Lu-FSDD0I,Preclinical,Treatment,35658448,10.1021/acs.jmedchem.1c02162,O=C(CCC(N1CCN(CC1)CCCOC2=CC=C3C(C(C(NCC(N4[C@]([H])(C#N)CC(F)(C4)F)=O)=O)=CC=N3)=C2)=O)NCCCC[C@@H](C(NCCSC5CC(N(C5=O)CCNC(C[N]67CC[N@@]89CC(O[177Lu+3]68%10%11%12[N](CC(O%12)=O)(CC7)CC[N](CC(O%11)=O)%10CC9)=O)=O)=O)=O)NC([C@H](CC(O)=O)NCCCCC%13=CC=C(C=C%13)I)=O,DSTR00063,,,,"[177Lu]Lu-FSDD0I is a radiopharmaceutical consisting of FSDD0I labeled with Lutetium-177, targeting fibroblast activation protein (FAP) for the radionuclide therapy of various solid tumors such as pancreatic cancer or sarcoma.",,,,,,
RDC00064,[68Ga]Ga-FSDD3I,68Ga-FSDD3I;68Ga-FSDD-31,Preclinical,Diagnosis,35658448,10.1021/acs.jmedchem.1c02162,O=C(N[C@H](CC(O)=O)CN[C@H](CC(O)=O)C(N[C@@H](CC(O)=O)C(N[C@@H](CCCCNC(CCC(N1CCN(CCCOC2=CC=C3C(C(C(NCC(N4[C@](C#N)(CC(C4)(F)F)[H])=O)=O)=CC=N3)=C2)CC1)=O)=O)C(NCCSC5CC(N(CCNC(C[N@@]67CC[N]8(CC(O9)=O)CC[N]%10(CC(O%11)=O)CC[N]%12(CC(O[68Ga+3]%1087%119%12C)=O)CC6)=O)C5=O)=O)=O)=O)=O)CCCC%13=CC=C(I)C=C%13,DSTR00064,,,,"[68Ga]Ga-FSDD3I is a radiopharmaceutical consisting of FSDD3I labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as pancreatic or lung cancer.",,,,,,
RDC00065,[68Ga]Ga-AV02053,68Ga-AV02053,Preclinical,Diagnosis,36986548,10.3390/ph16030449,CN(CCN(C(C[N@]12CC[N]34CC(O[68Ga+3]31567[N](CC2)(CC(O6)=O)CC[N](CC(O7)=O)5CC4)=O)=O)C)C8=NC=CC(C(NCC(N9CC(F)(C[C@H]9C#N)F)=O)=O)=C8,DSTR00065,,,,[68Ga]Ga-AV02053 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors.,,,,,,
RDC00066,[68Ga]Ga-AV02070,68Ga-AV02070,Preclinical,Diagnosis,36986548,10.3390/ph16030449,CN(C(C[N@@]12CC[N]3(CC(O4)=O)CC[N]5(CC(O[68Ga+3]32654OC7=O)=O)CC[N]6(C7)CC1)=O)CCN(C)C8=CC=C(C=N8)C(NCC(N9CC(F)(C[C@H]9C#N)F)=O)=O,DSTR00066,,,,[68Ga]Ga-AV02070 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of prostate cancer.,,,,,,
RDC00067,[68Ga]Ga-FAPI-FUSCC-Ⅰ,68Ga-FAPI-FUSCC-I,Preclinical,Diagnosis,38179677,10.1021/acs.molpharmaceut.3c01008,O=C(CNC(C1=C2C=CC=C(C2=NC=C1)NC(CNC(CNC(CC[C@H]3C(O[68Ga+3]45678[N@]9(CC(O8)=O)CC[N](CC(O)=O)4CC[N@@]35CC[N](CC(O7)=O)6CC9)=O)=O)=O)=O)=O)N%10[C@@H](CC(F)(C%10)F)C#N,DSTR00067,,,,[68Ga]Ga-FAPI-FUSCC-Ⅰ is a radiopharmaceutical labeled with the radionuclide 68Ga using the DOTA chelator to specifically target Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and metastatic lesions.,,,,,,
RDC00068,[68Ga]Ga-FAPI-FUSCC-II,68Ga-FAPI-FUSCC-II,Preclinical,Diagnosis,38179677,10.1021/acs.molpharmaceut.3c01008,O=C(CNC(C1=C2C=CC=C(C2=NC=C1)NC(CNC(CNC(CNC(CCC(C(O)=O)[N@@]34CC[N]56CC(O[68Ga+3]35789[N](CC(O9)=O)(CC4)CC[N@@](CC(O8)=O)7CC6)=O)=O)=O)=O)=O)=O)N%10[C@@H](CC(F)(C%10)F)C#N,DSTR00068,,,,"[68Ga]Ga-FAPI-FUSCC-II is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) in a dimeric form, offering higher tumor uptake and retention for the PET/CT diagnostic imaging of various solid tumors.",,,,,,
RDC00069,[68Ga]Ga-SB03178,68Ga-SB03178,Preclinical,Diagnosis,38367492,10.1016/j.ejmech.2024.116238,FC1(CN([C@@H](C1)C#N)C(CNC(C2=CC=NC3=C2C=C(C4=C3C=CC=C4)OCCCN5CCN(C(C[N]67CC[N@@]89CC(O[68Ga+3]68%10%11%12[N](CC[N](CC(O%11)=O)%10CC9)(CC(O%12)=O)CC7)=O)=O)CC5)=O)=O)F,DSTR00069,,,,[68Ga]Ga-SB03178 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and metastases.,,,,,,
RDC00070,[68Ga]Ga-SB03045,68Ga-SB03045,Preclinical,Diagnosis,37110717,10.3390/molecules28083481,F[C@@]1(CN([C@@H](C1)C#N)C(CNC(C2=CC=NC3=C2C=C(C=C3)OCCCN4CCN(C(C[N]56CC[N@@]78CC(O[68Ga+3]579%10%11[N](CC[N](CC(O%10)=O)9CC8)(CC(O%11)=O)CC6)=O)=O)CC4)=O)=O)[H],DSTR00070,,,,"[68Ga]Ga-SB03045 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging in the staging, recurrence detection, and therapy monitoring of prostate cancer.",,,,,,
RDC00071,[68Ga]Ga-SB03058,68Ga-SB03058,Preclinical,Diagnosis,37110717,10.3390/molecules28083481,O=C1O[68Ga+3]23456[N](CC[N](CC(O6)=O)3CC[N](CC(N7CCN(CCCOC8=CC9=C(C=C8)N=CC=C9C(NCC(N%10CSC[C@H]%10C#N)=O)=O)CC7)=O)4CC%11)(CC(O5)=O)CC[N@]%112C1,DSTR00071,,,,"[68Ga]Ga-SB03058 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Somatostatin Receptors (SSTR) for the PET/CT diagnostic imaging in the localization, staging, and treatment monitoring of neuroendocrine tumors (NETs).",,,,,,
RDC00072,[68Ga]Ga-AV01017,68Ga-AV01017,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,O=C1O[68Ga+3]23456[N]7(CC(O5)=O)CC[N](CC(O6)=O)2CC[N](CC[N@](CC(NCCCC[C@H](NC(CN8N=NC(CCCOC9=CC%10=C(C=C9)N=CC=C%10C(NCC(N%11[C@@H](CC(F)(C%11)F)C#N)=O)=O)=C8)=O)C(NCC(NC[C@@H]%12CCC(CC%12)C(N[C@H](C(NCCCC[C@@H](C(O)=O)NC(N[C@@H](CCC(O)=O)C(O)=O)=O)=O)CC%13=C%14C=CC=CC%14=CC%15=C%13C=CC=C%15)=O)=O)=O)=O)4CC7)3C1,DSTR00072,,,,"[68Ga]Ga-AV01017 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of early diagnosis, staging, and biochemical recurrence in patients with prostate cancer.",,,,,,
RDC00073,[68Ga]Ga-AV01030,68Ga-AV01030,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,O=C1O[68Ga+3]23456[N]7(CC(O5)=O)CC[N](CC(O6)=O)2CC[N](CC[N@](CC(NCCCC[C@H](NC(CN8C=C(N=N8)C9=CC%10=C(C=C9)N=CC=C%10C(NCC(N%11[C@@H](CC(F)(C%11)F)C#N)=O)=O)=O)C(NCC(NC[C@@H]%12CCC(CC%12)C(N[C@H](C(NCCCC[C@@H](C(O)=O)NC(N[C@@H](CCC(O)=O)C(O)=O)=O)=O)CC%13=C%14C=CC=CC%14=CC%15=C%13C=CC=C%15)=O)=O)=O)=O)4CC7)3C1,DSTR00073,,,,"[68Ga]Ga-AV01030 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of primary tumor assessment, nodal staging, and biochemical recurrence in patients with prostate cancer.",,,,,,
