study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO00104,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,4h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00104,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,24h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00104,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,72h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00147,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,1h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00147,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,4h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00147,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,24h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00147,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,72h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
BIO00105,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,1h,,"Renal excretion is predominant, supplemented by hepatic, biliary, and intestinal excretion",＞ 72h,,,,,,,,BIOR00105,Tumor specific high uptake and long-term retention; High uptake by kidneys and intestines (intake lower than RGD4); There is moderate uptake in the liver and spleen; Low uptake in other non target organs,,
BIO00105,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,4h,,"Renal excretion is predominant, supplemented by hepatic, biliary, and intestinal excretion",＞ 72h,,,,,,,,BIOR00105,Tumor specific high uptake and long-term retention; High uptake by kidneys and intestines (intake lower than RGD4); There is moderate uptake in the liver and spleen; Low uptake in other non target organs,,
BIO00105,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,24h,,"Renal excretion is predominant, supplemented by hepatic, biliary, and intestinal excretion",＞ 72h,,,,,,,,BIOR00105,Tumor specific high uptake and long-term retention; High uptake by kidneys and intestines (intake lower than RGD4); There is moderate uptake in the liver and spleen; Low uptake in other non target organs,,
BIO00105,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,72h,,"Renal excretion is predominant, supplemented by hepatic, biliary, and intestinal excretion",＞ 72h,,,,,,,,BIOR00105,Tumor specific high uptake and long-term retention; High uptake by kidneys and intestines (intake lower than RGD4); There is moderate uptake in the liver and spleen; Low uptake in other non target organs,,
BIO00106,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,1h,,Dual channel excretion of liver and kidney,＞ 72h,,,,,,,,BIOR00106,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00106,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,4h,,Dual channel excretion of liver and kidney,＞ 72h,,,,,,,,BIOR00106,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00106,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,24h,,Dual channel excretion of liver and kidney,＞ 72h,,,,,,,,BIOR00106,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00106,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,72h,,Dual channel excretion of liver and kidney,＞ 72h,,,,,,,,BIOR00106,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00107,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00107,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00107,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00107,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,72h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00148,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,HT-29 tumor cells,=,0.37,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00148,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00148,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,HT-29 tumor cells,=,0.37,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00148,Ex vivo biodistribution,Subcutaneous injection of HT-29 tumor cells into the right thigh of nude mice,HT-29 tumor cells,=,0.37,MBq,72h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 72h,,,,,,,,,,,
BIO00108,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,54.68 ± 4.73,,,,,,,BIOR00108,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00108,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,174.58 ± 45.68,,,,,,,BIOR00108,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00108,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,408.62 ± 155.51,,,,,,,BIOR00108,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00109,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,408.62 ± 155.51,,,,,,,BIOR00109,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00109,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,111.25 ± 26.81 ,,,,,,,BIOR00109,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00109,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,394.60 ± 144.73,,,,,,,BIOR00109,"Tumor specific high uptake and long-term retention; The highest uptake by the kidneys; Moderate uptake is present in the liver, spleen, and intestines; Low uptake in other non target organs",,
BIO00110,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,77.38 ± 8.77,,,,,,,BIOR00110,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00110,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,443.97 ± 69.90,,,,,,,BIOR00110,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00110,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,615.84 ± 194.33,,,,,,,BIOR00110,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00111,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,1h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,50.91 ± 5.43,,,,,,,BIOR00111,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00111,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,4h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,408.97 ± 85.65,,,,,,,BIOR00111,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00111,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.01,MBq,24h,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞ 24h,395.68 ± 83.23,,,,,,,BIOR00111,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00117,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.015,MBq,1h,,Slow excretion of urine from the urinary system,＞ 24h,94.19 ± 11.94,,,,,,,BIOR00117,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00117,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.015,MBq,4h,,Slow excretion of urine from the urinary system,＞ 24h,425.65 ± 209.64,,,,,,,BIOR00117,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00117,Ex vivo biodistribution,"5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in the right shoulder; Two weeks later, U87MG cells were subcutaneously injected into the left shoulder of the same mice","MDA-MB-435S cells,U87MG cells",=,0.015,MBq,24h,,Slow excretion of urine from the urinary system,＞ 24h,426.40 ± 460.76,,,,,,,BIOR00117,"The multivalent RGD peptide achieves long-term retention (maintaining >75% of initial uptake for 24 hours) through binding to integrin αvβ3 clusters; the 
multivalent structure leads to renal tubular reabsorption, requiring molecular optimization to reduce toxicity; 12?I-(RGD)? can accurately predict the distribution of 211At-(RGD)?, supporting clinical translation.

",,
BIO00118,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,1h,,Mainly excreted through the kidneys, >  2h,,,,,,,,BIOR00118,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00118,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,2h,,Mainly excreted through the kidneys, >  2h,22 ± 3.9,,,,20 ± 7,,,BIOR00118,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00119,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,2h,,Mainly excreted through the kidneys,＞ 72h,1.1 ± 0.2,,,,6 ± 0.9,,,BIOR00119,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake in blood, lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00119,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,4h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,BIOR00119,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake in blood, lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00120,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,1h,,Mainly excreted through the kidneys, >  2h,,,0.08 ± 0.05,.,,,,BIOR00120,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00120,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,24h,,Mainly excreted through the kidneys, >  2h,,,,,,,,BIOR00120,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00120,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,48h,,Mainly excreted through the kidneys, >  2h,,,,,,,,BIOR00120,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00120,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,72h,,Mainly excreted through the kidneys, >  2h,,,0.14 ± 0.05,,,,,BIOR00120,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake is present in the lungs, stomach, and intestines; Low uptake in other non target organs",,
BIO00121,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,1h,,Mainly excreted through the kidneys,＞ 72h,,,0.22 ± 0.05,,,,,BIOR00121,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake in blood (rapid clearance), stomach, and intestines; Low uptake in other non target organs",,
BIO00121,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,24h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,BIOR00121,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake in blood (rapid clearance), stomach, and intestines; Low uptake in other non target organs",,
BIO00121,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,48h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,BIOR00121,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake in blood (rapid clearance), stomach, and intestines; Low uptake in other non target organs",,
BIO00121,Ex vivo biodistribution,Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu/nu nude mice,BxPC-3 cells,=,3-3.7,MBq,72h,,Mainly excreted through the kidneys,＞ 72h,,,0.60 ± 0.02,,,,,BIOR00121,"Tumor specific uptake; The highest uptake by the kidneys; Moderate uptake in blood (rapid clearance), stomach, and intestines; Low uptake in other non target organs",,
BIO00122,Ex vivo biodistribution,Subcutaneous injection of M21 cells into Balb/cnu/nu mice,M21 cells,=,1,MBq,60min,,Mainly excreted through the kidneys,>  90min,,,,,,,,BIOR00122,"The uptake of NODAGA-RGD in all organs/tissues is lower than that of DOTA-RGD, with the most significant difference observed in blood and muscle",,
BIO00123,Imaging,Subcutaneous injection of M21 cells into Balb/cnu/nu mice,M21 cells,=,10,MBq,90min,,Mainly excreted through the kidneys,>  90min,,,,,,,,BIOR00123,"The uptake of NODAGA-RGD in all organs/tissues is lower than that of DOTA-RGD, with the most significant difference observed in blood and muscle",,
BIO00124,Ex vivo biodistribution,Subcutaneous injection of M21 cells into Balb/cnu/nu mice,M21 cells,=,.,.,60min,,Mainly excreted through the kidneys,.,,,,,,,,BIOR00124,"Tumor specific high uptake; High uptake by kidneys, liver, and spleen; Moderate intake in the stomach and intestines; Low uptake in other non target organs",,
BIO00125,Imaging,Subcutaneous injection of M21 cells into Balb/cnu/nu mice,M21 cells,=,10,MBq,90min,,Mainly excreted through the kidneys,.,,,,,,,,BIOR00125,"Tumor specific high uptake; High uptake by kidneys, liver, and spleen; Moderate intake in the stomach and intestines; Low uptake in other non target organs",,
