activity_id,drug_id,pmid,doi,clinical_trial_number,indication,patients,frequency,dosage,clinical_endpoint,endpoint_period,purpose,results_description,efficacy_description,security_indicators,adverse_events_summary,created_at,updated_at
HU0256,RDC01237,27056618,10.2967/jnumed.116.173757,,mCRPC,"n=82; all male;​​ Median age: ​​73 years​​ (range 43-87). Heavily pre-treated: 99% had prior hormonal therapy, 63% prior docetaxel, 13% prior cabazitaxel, 84% prior abiraterone, 80% prior enzalutamide. ​​99% had bone metastases​​, 79% had lymph node metastases.",Patients received a ​​single therapy cycle​​. (The study's purpose was to assess response and tolerability after one dose).,5.9 ± 0.5 GBq​​,,,Safety,A single dose of ¹⁷⁷Lu-PSMA-617 was ​​well-tolerated,,,,,
HU0257,RDC01237,27056618,10.2967/jnumed.116.173757,,mCRPC,"n=82; all male;​​ Median age: ​​73 years​​ (range 43-87). Heavily pre-treated: 99% had prior hormonal therapy, 63% prior docetaxel, 13% prior cabazitaxel, 84% prior abiraterone, 80% prior enzalutamide. ​​99% had bone metastases​​, 79% had lymph node metastases.",Patients received a ​​single therapy cycle​​. (The study's purpose was to assess response and tolerability after one dose).,5.9 ± 0.5 GBq​​,,,PSA response,​​PSA Response at 8 weeks:​ ​​64%​​ of patients (47/74) had ​​any PSA decline​​; ​​31%​​ of patients (23/74) had a ​​PSA decline ≥50%​​; ​​47%​​ of patients (35/74) had ​​stable disease​​ (PSA change <25% increase to <50% decline); ​​23%​​ of patients (17/74) had ​​progressive disease​​ (PSA increase >25%).,It showed a ​​considerable PSA response​​ in a majority of heavily pre-treated mCRPC patients.,,,,
HU0258,RDC01393,28255795,10.1007/s00259-017-3657-9,,mCRPC,A male patient with metastatic castration-resistant prostate cancer (mCRPC) who progressed on standard therapy.,Two therapy cycles,592 MBq,,,PSA response (​​Biochemical),"After 11 months, the patient achieved a biochemical response (PSA level decreased from 237 μg/L to 43 μg/L).",,,,,
HU0259,RDC01408,32190233,10.1039/c9md00401g,,Prostate carcinoma,two patients with suspected prostate carcinoma,"Single administration, single imaging session",259–370 MBq,,,Biodistribution,"In normal biodistribution studies, rapid clearance from the blood, liver, intestines, lungs, and other major organs was observed.",,,,,
HU0260,RDC01408,32190233,10.1039/c9md00401g,,Prostate carcinoma,two patients with suspected prostate carcinoma,"Single administration, single imaging session",259–370 MBq,,,Lesion detection,It identified primary tumors and metastatic lesions in human patients.,,,,,
HU0261,RDC01415,39661209,10.1186/s41181-024-00314-7,,Metastatic prostate cancer,60-year-old male,Single administration,107 MBq,,,Biodistribution,"All lesions detected by PSMA-11 also visible with Ga-9; lower kidney uptake, higher liver uptake, prolonged blood circulation",,,,,
HU0262,RDC01375,39865485,10.1002/pros.24857,,mCRPC,14 patients,Variable cycles,7.8 MBq,,,PSA response,Any PSA decline: 79%,,,,,
HU0263,RDC01375,39865485,10.1002/pros.24857,,mCRPC,14 patients,Variable cycles,7.8 MBq,,,PSA response,>50% PSA decline: 50%,,,,,
HU0264,RDC01420,38751628,10.1021/acsptsci.4c00012,,Prostate cancer,1 patient with histologically proven or metastatic PCa,Single administration,740 MBq,,,Imaging capability,Clear identification of small prostate cancer lesions and lymph node metastasis,,,,,
HU0265,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,,,Safety,"In all patients, adverse events (AEs) after [177Lu]Lu-LNC1011 treatment were primarily characterized by decreased levels of hemoglobin, white blood cells and platelets. Grade 3 anemia was recorded in 1 patient, and grade 2 leukopenia and thrombocytopenia were recorded in 4 patients",,,Hematological toxicity was the primary side effect.,,
HU0266,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,,,average systemic effective,0.18 mSv/MBq,,,,,
HU0267,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,PSA response,,PSA response,"All patients had a more than 50% decline of PSA during treatment, and one patient dropped to 0 ng/mL",,,,,
HU0268,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,CR,,CR,"According to assessment criteria adapted from the PERCIST v.1.0 criteria, complete response were observed in 2 (25%) patients.",,,,,
HU0269,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,PR,,PR,"According to assessment criteria adapted from the PERCIST v.1.0 criteria,  partial response were observed in 4 (50%) patients.",,,,,
HU0270,RDC01431,40208314,10.1007/s00259-025-07245-8,NCT06809426,mCRPC,Eight mCRPC patients who met the inclusion criteria.,"Every 6 weeks, up to 6 cycles",1.85–3.7 GBq/cycle,,,Disease progression,"According to assessment criteria adapted from the PERCIST v.1.0 criteria,  partial response were observed in 2 (25%) patients.",,,,,
HU0271,RDC01432,39915126,10.2967/jnumed.124.268318,NCT03490032,Biochemical recurrence or metastatic prostate cancer,30 Patients with Biochemical Recurrence or Metastatic Prostate Cancer,"Single administration, single imaging session",3 MBq/kg (max 250 MBq),,,Lesion detection,Detected more lesions than conventional imaging,,,,,
HU0272,RDC01432,39915126,10.2967/jnumed.124.268318,NCT03490032,Biochemical recurrence or metastatic prostate cancer,30 Patients with Biochemical Recurrence or Metastatic Prostate Cancer,"Single administration, single imaging session",3 MBq/kg (max 250 MBq),,,Safety,"13 TEAEs in 7 pts, all mild/moderate, none drug-related",,,"13 TEAEs in 7 pts, all mild/moderate, none drug-related",,
HU0273,RDC01443,39745526,10.1007/s00259-024-07046-5,NCT06389695,Prostate Cancer,"Ten patients with prostate cancer (PCa), including 4 with primary PCa without metastasis, 2 with primary PCa and metastasis, and 4 with recurrent PCa, and 1 patient with prostatitis.","Single administration, single imaging session",111 MBq,,,Lesion detection,Higher uptake in osseous and lymph node metastases than [⁶⁸Ga]Ga-PSMA-617,,,,,
HU0274,RDC01444,40675754,10.2967/jnumed.125.270069,ChiCTR2500099053,Prostate Cancer,1 healthy volunteer and 2 PCa patients,"Single administration, single imaging session",243.1 ± 4.8 MBq,,,Biodistribution,"Higher liver/spleen uptake, minimal bladder activity, mild skeletal uptake, strong tumor localization",,,,,
HU0275,RDC01444,40675754,10.2967/jnumed.125.270069,ChiCTR2500099053,Prostate Cancer,1 healthy volunteer and 2 PCa patients,"Single administration, single imaging session",243.1 ± 4.8 MBq,,,Lesion detection,"SUVmax 39.3 in primary PCa, TBR 54.9; detected bone metastases",,,,,
HU0276,RDC01445,39985618,10.1007/s00259-025-07140-2,ChiCTR2300077817,Prostate Cancer,3 healthy volunteers and 13 PCa patients,Single administration,,,,Lesion detection,Selective accumulation in CD13-positive PCa lesions; detected one PSMA-negative case missed by [⁶⁸Ga]Ga-PSMA-617,,,,,
HU0277,RDC01445,39985618,10.1007/s00259-025-07140-2,ChiCTR2300077817,Prostate Cancer,3 healthy volunteers and 13 PCa patients,Single administration,,,,Imaging capability,SUVmax and TBR positively correlated with CD13 IHC score,,,,,
HU0278,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,,,PSA response,3/5 patients showed PSA reduction,,,,,
HU0279,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,,,Safety,No significant adverse effects,,"Blood, liver, kidney function",Grade 1 renal event (1 patient); temporary grade 2 ostealgia (1 patient),,
HU0280,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,Dosimetry evaluation,4.717 ± 2.292 mGy/MBq,,The mean absorbed tumor dose of [¹⁷⁷Lu]Lu‑P17‑088 was 4.717 ± 2.292 mGy/MBq,,,,,
HU0281,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,Dosimetry evaluation,7.752 ± 4.175  mGy/MBq,,The mean absorbed tumor dose of [¹⁷⁷Lu]Lu‑P17‑088 was 7.752 ± 4.175 mGy/MBq,,,,,
HU0282,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,Radiation toxicity assessment,,,,,,,,
HU0283,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,PSA response,,Efficacy,"3/4 patients showed PSA reduction,",,,,,
HU0284,RDC01450,38658392,10.1007/s00259-024-06721-x,NCT05603559,Metastatic castration-resistant prostate cancer (mCRPC),5 patients with mCRPC,Single administration,1.2 GBq,,,Safety,One patient showed relief from edema and numbness; another reported pain relief one week post-injection. One patient experienced transient grade 2 abdominal pain for about two weeks. No clinically significant adverse events occurred within 10 weeks after injection.,,,All patients tolerated lose-dose [177Lu]Lu-P17-088 well,,
HU0285,RDC01468,37708404,10.1021/acs.jmedchem.3c01475,2022KY-164 (Ethics approval),Prostate cancer,Two patients with PCa,Single administration,"266.4 MBq, 173.0 MBq",,,Safety,"Imaging with [⁶⁸Ga]Ga-PSMA-D5 was safe in both patients, and no adverse reactions or clinically detected pharmacological effects were observed.",,,,,
HU0286,RDC01468,37708404,10.1021/acs.jmedchem.3c01475,2022KY-164 (Ethics approval),Prostate cancer,Two patients with PCa,Single administration,"266.4 MBq, 173.0 MBq",,,Biodistribution,"[⁶⁸Ga]Ga-PSMA-D5 mainly accumulated in the salivary glands, kidneys and bladder, with moderate uptake in the liver, spleen and small intestine and minimal uptake in other tissues, suggesting predominant urinary excretion.",,,,,
HU0287,RDC01468,37708404,10.1021/acs.jmedchem.3c01475,2022KY-164 (Ethics approval),Prostate cancer,Two patients with PCa,Single administration,"266.4 MBq, 173.0 MBq",,,Lesion detection,"Following the positive PET imaging results, biopsy pathology results confirmed PCa with Gleason scores of 4 + 5 = 9 and 5 + 4 = 9 for the two patients",,,,,
HU0288,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",,,Safety,Administration of 225Ac-PSMA-617 was well tolerated.,,,The commonest toxicity seen was grade I/II dry mouth observed in 94% of patients.,,
HU0289,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",mOS,31 months,To evaluate the safety,Estimated median overall survival for the entire patient population was 31 months (CI 12.8–49.2 months).,,,,,
HU0290,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",mOS,11 months,To evaluate the safety,Median estimated OS for patients with a PSA decline smaller than the median was 11 months (CI 8.1–13.8 months),,,,,
HU0291,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",mOS,Not yet reached,To evaluate the safety,the median OS of those patients with a PSA decline > the median PSA decline was not yet reached at the date of latest follow-up (36 months).,,,,,
HU0292,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",mPFS,Not yet reached,To evaluate the safety,Median progression-free survival (PFS) has not been reached in patients with PSA decline.,,,,,
HU0293,RDC01375,36864360,10.1007/s00259-023-06165-9,,metastatic hormone-sensitive prostate carcinoma (mHSPC),Twenty-one treatment-naive HSPC patients,Every 8 weeks,"Initial 8 MBq, then de-escalated to 6 or 4 MBq based on response",mPFS,Not yet reached,To evaluate the safety,Patients with a PSA decline < the median was 9.0 months (CI 1.8–16.2 months).,,,,,
HU0294,RDC01511,,10.1021/acs.jmedchem.5c00401,"NCT06462508 ,NCT06756334",Metastatic Castration-Resistant Prostate Cancer (mCRPC),3 patients with mCRPC,Single administration,3.65-5.61 MBq/kg,,,Lesion detection,"In summary, [¹⁸F]AlF-PSMA-N5 performs comparably to or even better than [⁶⁸Ga]Ga-PSMA-11 in visualizing metastatic lesions, especially in delayed imaging. The rising SUVmax and T/M ratios indicate its potential to improve detection of small metastases, thus enhancing PCa staging and treatment planning.",,,,,
HU0295,RDC01518,40861973,10.1039/d5ra04397b,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),1 patient with mCRPC,Single administration,370MBq,,,Imaging capability,"The imaging also demonstrated the sensitivity of [⁹⁹ᵐTc]PSMA-P1 in identifying lymph node metastases, highlighting its potential as a PSMA-targeted SPECT radiotracer for the detection of metastatic PCa.",,,,,
HU0296,RDC01532,40897948,10.1007/s11307-025-02046-9,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),1 patient with mCRPC,Single administration,282MBq,,,Lesion detection,"[⁶⁸Ga]Ga-PSMA-1-DOTA showed rapid clearance and low background, especially in the liver and spleen, aiding detection of small metastatic uptake.",,,,,
HU0297,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",,,Safety,"Treatment-related grade I/II hematologic toxicity included 23% anemia, 18.6% leukopenia, and 9.3% thrombocytopenia. eGFR decreased by 2.5%, with 18.6% developing grade I/II renal toxicity.",,Hematological parameters,No ≥ Grade 3 adverse events per the Common Terminology Criteria for Adverse Events (CTCAE) were observed.,,
HU0298,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",mOS,11 months,Efficacy,"The median overall survival (OS) of this cohort was 11 months, and 34 of 56 patients (60.7%) had died at the time of analysis.",,,,,
HU0299,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",PSA response,,To evaluate the safety,"A PSA response was observed in 33 of 43 patients (77%). The median PSA reduction was 58% (range, 0.6%–98.7%). Furthermore, 22 patients (51%) achieved a PSA decrease of more than 50%.",,,,,
HU0300,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",,,Efficacy,"After two cycles of radioligand therapy, the PSMA tumor volume was 288.88 mL, showing an approximately 6.3% reduction in overall tumor burden.",,,,,
HU0301,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",,,Prognostic factors for survival,"When combined criteria for PD (RECIST or PCWG3) were used, patients with PD showed significantly shorter OS (11 vs. 22 months; HR 3.3, 95% CI 0.9–11.5).",,,,,
HU0302,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",,,Prognostic factors for survival,"Patients who exhibited any PSA response after RLT had a longer OS compared to those without (21 months vs. 7 months, HR 0.3 [95% CI 0.1–1.2], p < 0.01)",,,,,
HU0303,RDC00828,40851054,10.1007/s00259-025-07519-1,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"56 men, age ≥75 years (median age 78, range 75-95)","Median 3 cycles(range, 1–9 cycles)","18.2(range, 4.9–54.8 GBq)",,,Prognostic factors for survival,"Kaplan-Meier analysis revealed significantly shorter survival in patients with liver metastases compared to those without (21 months vs. 8 months, HR 6.7 [95% CI 0.8–52.5], p < 0.001)",,,,,
HU0304,RDC01534,40081958,10.2967/jnumed.124.269299,,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"3 males with progressive mCRPC, ECOG PS 1",Single administration,"9.4 ± 0.3 MBq of AB001 (9.6, 9.5, and 9.0 MBq for patients ID01, ID02, and ID03, respectively)",Biodistribution,,To evaluate biodistribution,"Uptake was visualized in the kidneys, liver, bladder and blood pool. The whole-body effective half-life was 8.0 hours (95% confidence interval: 7.3–8.7 hours).",,,No adverse reactions occurred.,,
HU0305,RDC01543,40325261,10.1007/s00259-025-07313-z,NCT05413850,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"Men aged ≥18 years with mCRPC progressing on/after ≥1 novel androgen axis agent, with 1–2 taxane chemotherapy courses.",Every 6 weeks (up to 3 cycles),"5.55GBq(A),7.4GBq(B)",Biodistribution,,To evaluate biodistribution,"In cycle 1, mean absorbed doses of ¹⁷⁷Lu‑rhPSMA‑10.1 were 0.266 Gy/GBq in kidneys, 0.130 Gy/GBq in salivary glands, and 0.011 / 0.031 Gy/GBq in bone marrow by imaging or blood method.",,,,,
HU0306,RDC01543,40325261,10.1007/s00259-025-07313-z,NCT05413850,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"Men aged ≥18 years with mCRPC progressing on/after ≥1 novel androgen axis agent, with 1–2 taxane chemotherapy courses.",Every 6 weeks (up to 3 cycles),"5.55GBq(A),7.4GBq(B)",,,Uptake in tumor lesions at baseline,"Cycle 1 mean maximum tumor absorbed dose was 8.87 (6.71) Gy/GBq by activity-based method (range 2.00–25.7 Gy/GBq), and lower at 2.38 (1.78) Gy/GBq by anatomic method (range 0.37–6.67 Gy/GBq).",,,,,
HU0307,RDC01543,40325261,10.1007/s00259-025-07313-z,NCT05413850,Metastatic Castration-Resistant Prostate Cancer (mCRPC),"Men aged ≥18 years with mCRPC progressing on/after ≥1 novel androgen axis agent, with 1–2 taxane chemotherapy courses.",Every 6 weeks (up to 3 cycles),"5.55GBq(A),7.4GBq(B)",,,Biodistribution,"¹⁷⁷Lu‑rhPSMA‑10.1 clears rapidly within 2 h post-injection, with a mean blood effective half-life of 2.2 (0.5) h.",,,,,
HU0308,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,50 μg,Safety,,To evaluate the safety,"The injection was well tolerated, with no adverse events, abnormal lab results or vital sign changes observed after a single intravenous bolus.",,,No adverse reactions occurred.,,
HU0309,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,100 μg,Safety,,To evaluate the safety,"The injection was well tolerated, with no adverse events, abnormal lab results or vital sign changes observed after a single intravenous bolus.",,,No adverse reactions occurred.,,
HU0310,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,150 μg,Safety,,To evaluate the safety,"The injection was well tolerated, with no adverse events, abnormal lab results or vital sign changes observed after a single intravenous bolus.",,,No adverse reactions occurred.,,
HU0311,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,50 μg,Biodistribution,,To evaluate biodistribution,"It accumulates in the lacrimal/salivary glands, liver, kidneys, spleen, bladder and intestines. Decay-corrected activity stabilizes over time, increasing in salivary glands but decreasing in the liver.",,,No adverse reactions occurred.,,
HU0312,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,100 μg,Biodistribution,,To evaluate biodistribution,"It accumulates in the lacrimal/salivary glands, liver, kidneys, spleen, bladder and intestines. Decay-corrected activity stabilizes over time, increasing in salivary glands but decreasing in the liver.",,,No adverse reactions occurred.,,
HU0313,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,150 μg,Biodistribution,,To evaluate biodistribution,"It accumulates in the lacrimal/salivary glands, liver, kidneys, spleen, bladder and intestines. Decay-corrected activity stabilizes over time, increasing in salivary glands but decreasing in the liver.",,,No adverse reactions occurred.,,
HU0314,RDC01544,40109737,10.1021/acsptsci.4c00637,NCT05839990,Metastatic Castration-Resistant Prostate Cancer (mCRPC),5 patients with mCRPC,Single administration,100 μg,,,Dosimetry evaluation,The effective dose was the lowest at a 100 μg peptide injection.,,,No adverse reactions occurred.,,
HU0315,RDC01418,38287346,10.1186/s12885-024-11900-y,NCT05902247,Metastatic Castration-Resistant Prostate Cancer (mCRPC),30 patienets,Every 6-8 weeks (up to 2 cycles),"8, 10, and 12 MBq",,,To assess safety and tolerability of [225Ac]Ac-PSMA-I&T in mCRPC patients and determine optimal dose for Phase II.,,,,"Possible side effects may include dry mouth, fatigue, nausea, hematologic toxicity (anemia, thrombocytopenia), and nephrotoxicity.",,
HU0316,RDC01635,38216779,10.1007/s00259-023-06584-8,NCT05411432,"Breast cancer, stomach cancer","6 patients (4 HER2 positive, 2 HER2 negative)",Single administration,66 nmol,Biodistribution,,To evaluate biodistribution,The liver-to-kidney ratio of the MVK tracer was higher than that of the control group at all examined time points.,,,,,
HU0317,RDC01635,38216779,10.1007/s00259-023-06584-8,NCT05411432,"Breast cancer, stomach cancer","6 patients (4 HER2 positive, 2 HER2 negative)",Single administration,66 nmol,,,Dosimetry,"Heart wall and lung doses were significantly higher for this tracer, while its total effective dose (26.1 ± 3.1 µSv/MBq) was significantly lower than that of [⁶⁸Ga]Ga-NOTA-ZHER2:2891 (28.7 ± 2.9 µSv/MBq).",,,,,
HU0318,RDC01637,35131966,10.1097/mnm.0000000000001521,,HER2/neu-positive breast cancer,"9 cases (7 HER2 positive, 2 negative)",Single injection,111–185  MBq,,,Imaging capability,"HER2-positive tumors with visible uptake, SUV_max 3-5.8 (breast lesions), 2.0-3.1 (lymph nodes); HER2-negative lesions without uptake",,,Well tolerated with no serious adverse events,,
HU0319,RDC01637,35131966,10.1097/mnm.0000000000001521,,HER2/neu-positive breast cancer,"9 cases (7 HER2 positive, 2 negative)",Single injection,111–185  MBq,,,Safety,"2 mild anaphylactic reactions (not imaged), the remaining patients tolerated well",,,Well tolerated with no serious adverse events,,
HU0320,RDC01714,26912439,10.2967/jnumed.115.169342,,Breast Cancer,Eight women diagnosed with metastatic breast cancer,"The administration frequency is twice, with an interval of 1 week between the two doses.",215±58 MBq,,,Effective dose,The effective dose for a typical 200-MBq administration of 68Ga-ABY-025 was found to be 6.0 mSv for LD (78 ± 8 mg)68Ga-ABY-025.,,,,,
HU0321,RDC01714,26912439,10.2967/jnumed.115.169342,,Breast Cancer,Eight women diagnosed with metastatic breast cancer,"The administration frequency is twice, with an interval of 1 week between the two doses.",215±58 MBq,,,Effective dose,The effective dose for a typical 200-MBq administration of 68Ga-ABY-025 was found to be  5.6 mSv for HD (427 ± 19 mg) 68Ga-ABY-025.,,,,,
HU0322,RDC01714,26912439,10.2967/jnumed.115.169342,,Breast Cancer,Eight women diagnosed with metastatic breast cancer,"The administration frequency is twice, with an interval of 1 week between the two doses.",215±58 MBq,,,Imaging capability,"In terms of biodistribution and dosimetry, HD is pre- ferred in the diagnosis and pretreatment HER2-status evaluation of breast cancer patients.",,,,,
HU0323,RDC01720,32817142,10.2967/jnumed.120.248799,,Breast Cancer,29 patients with untreated primary breast cancer.,Single administration,"Patients 1–11 were injected with 500 mg of ADAPT6 (416±135 MBq), and patients 12–22 were injected with 1,000 mg (349 ± 133 MBq). Patients 23–29 were injected with 250 mg (165 ± 29 MBq)",,,Imaging capability,500 mg provides the best discrimination between primary tumors with high expression of HER2 and primary tumors with low expression.,,,,,
HU0324,RDC01723,30906574,10.15761/JTS.1000269,,Primary or metastatic malignant tumors,"13 Eligible participants were ≤18 years old, with history of primary or metastatic cancer",,175.1 MBq,,,Safety,"One patient developed grade 1 dysgeusia during infusion, which resolved spontaneously.",,,,,
HU0325,RDC01723,30906574,10.15761/JTS.1000269,,Primary or metastatic malignant tumors,"13 Eligible participants were ≤18 years old, with history of primary or metastatic cancer",,175.1 MBq,Biodistribution,,To evaluate biodistribution,"Initial imaging showed significant activity in the liver, spleen, blood pool and intestines. Mild small bowel uptake was seen in two patients at all time points, with gallbladder clearly visible at 72 h.Kidneys were visible initially but had minimal uptake over time, and pelvic uptake was mild (excluding intestines).",,,,,
HU0326,RDC01748,38888484,10.1148/radiol.232209,NCT04547309,HER2-positive breast cance,"42 participants (mean age, 56.3 years; 41 female, one male)",,1.85–3.7 MBq/kg,,,Lesion detection,"PET/CT with the affibody-based tracer Al18F-NOTA-HER2-BCH enabled detection of more primary lesions and lymphnode, bone, and liver metastases than PET/CT using 18F-FDG.",,,,,
HU0327,RDC01747,38272704,10.2967/jnumed.123.266392,NCT04692831,patients with HER2-positive metastatic breast cancer,"6 patients (5 female, 1 male; median age, 51y; range, 41–69)",Single administration,74 MBq ± 10%,,,Optimal imaging time,5-8 days,,,No toxic reactions,,
HU0328,RDC01747,38272704,10.2967/jnumed.123.266392,NCT04692831,patients with HER2-positive metastatic breast cancer,"6 patients (5 female, 1 male; median age, 51y; range, 41–69)",Single administration,74 MBq ± 10%,,,Lesion detection,Known malignant lesions detected in 5/6 patients showing HER2 heterogeneity,,,No toxic reactions,,
HU0329,RDC01763,37751398,10.1021/acs.bioconjchem.3c00344,NCT04277338,Primary breast cancer,,Single administration,"1,000, 2,000, or 3,000 mg",,,Biodistribution,"No adverse effects, rapid blood clearance, high kidney and liver uptake, clear tumor visualization",,,No adverse reaction was observed.,,
HU0330,RDC01763,37751398,10.1021/acs.bioconjchem.3c00344,NCT04277338,Primary breast cancer,,Single administration,"1,000, 2,000, or 3,000 mg",,,Lesion detection,Able to distinguish HER2-positive from HER2-negative tumors; tumor-to-contralateral breast ratios significantly higher for HER2-positive tumors,,,No adverse reaction was observed.,,
HU0331,RDC01775,38459598,10.1186/s13058-024-01803-y,NCT04674722,Breast cancer ,30 patients with breast cancer,Single administration,,,,Lesion detection,Able to distinguish HER2-positive and HER2-negative tumors; detected brain and bone metastases; visualized HER2 heterogeneity,,,Well tolerated,,
HU0332,RDC01775,38459598,10.1186/s13058-024-01803-y,NCT04674722,Breast cancer ,30 patients with breast cancer,Single administration,,,,Safety,"Well tolerated, no adverse reactions",,,Well tolerated,,
