study_id,drug_id,pmid,doi,created_at,updated_at
BIO00139,RDC00121,34571954,10.3390/cells10092305,,
BIO00140,RDC00122,17341108,10.1021/bc0603081,,
BIO00141,RDC00122,17341108,10.1021/bc0603081,,
BIO00142,RDC00123,32514725,10.1007/s12149-020-01483-6,,
BIO00143,RDC00123,32514725,10.1007/s12149-020-01483-6,,
BIO00144,RDC00123,32514725,10.1007/s12149-020-01483-6,,
BIO00145,RDC00124,19360404,10.1007/s00259-009-1123-z,,
BIO00146,RDC00124,19360404,10.1007/s00259-009-1123-z,,
BIO04810,RDC00124,19360404,10.1007/s00259-009-1123-z,,
BIO00150,RDC00127,39926504,10.1021/acsomega.4c10621,,
BIO00151,RDC00127,39926504,10.1021/acsomega.4c10621,,
BIO00152,RDC00128,39926504,10.1021/acsomega.4c10621,,
BIO00153,RDC00128,39926504,10.1021/acsomega.4c10621,,
BIO00154,RDC00129,32898323,10.1002/ctm2.157,,
BIO00156,RDC00131,19484236,10.1007/s00259-009-1166-1,,
BIO00157,RDC00132,30533490,10.1007/s41048-018-0071-1,,
BIO00158,RDC00133,35674464,10.1021/acs.molpharmaceut.2c00313,,
BIO00159,RDC00133,35674464,10.1021/acs.molpharmaceut.2c00313,,
BIO00160,RDC00133,35674464,10.1021/acs.molpharmaceut.2c00313,,
BIO00161,RDC00134,35993583,10.1021/acs.molpharmaceut.2c00349,,
BIO00162,RDC00135,31740201,10.1016/j.bmc.2019.115189,,
BIO00163,RDC00136,31740201,10.1016/j.bmc.2019.115189,,
BIO00164,RDC00135,31740201,10.1016/j.bmc.2019.115189,,
BIO00165,RDC00136,31740201,10.1016/j.bmc.2019.115189,,
BIO00166,RDC00137,34137602,10.1021/acs.bioconjchem.1c00296,,
BIO00167,RDC00138,34137602,10.1021/acs.bioconjchem.1c00296,,
BIO00168,RDC00139,12414640,,,
BIO00169,RDC00140,12414640,,,
BIO00178,RDC00147,32383076,10.1007/s11307-020-01500-0,,
BIO00179,RDC00147,32383076,10.1007/s11307-020-01500-0,,
BIO00180,RDC00148,32383076,10.1007/s11307-020-01500-0,,
BIO00181,RDC00148,32383076,10.1007/s11307-020-01500-0,,
BIO00182,RDC00149,37591041,10.1016/j.nucmedbio.2023.108364,,
BIO00183,RDC00150,37591041,10.1016/j.nucmedbio.2023.108364,,
BIO00184,RDC00151,37591041,10.1016/j.nucmedbio.2023.108364,,
BIO00174,RDC00152,36931125,10.1016/j.ejmech.2023.115279,,
BIO00175,RDC00153,36931125,10.1016/j.ejmech.2023.115279,,
BIO00185,RDC00152,36931125,10.1016/j.ejmech.2023.115279,,
BIO00186,RDC00153,36931125,10.1016/j.ejmech.2023.115279,,
BIO00187,RDC00153,36931125,10.1016/j.ejmech.2023.115279,,
BIO00188,RDC00154,36931125,10.1016/j.ejmech.2023.115279,,
BIO00189,RDC00155,40177543,10.1016/j.apsb.2024.10.012,,
BIO00190,RDC00156,36403717,10.1016/j.ejps.2022.106336,,
BIO00191,RDC00157,36403717,10.1016/j.ejps.2022.106336,,
BIO00192,RDC00158,21153409,10.1007/s00259-010-1684-x,,
BIO00193,RDC00159,21153409,10.1007/s00259-010-1684-x,,
BIO00194,RDC00160,37463487,10.1021/acs.molpharmaceut.3c00321,,
BIO00195,RDC00443,27422811,10.1158/1535-7163.mct-16-0040,,
BIO00196,RDC00443,27422811,10.1158/1535-7163.mct-16-0040,,
BIO00197,RDC00443,27422811,10.1158/1535-7163.mct-16-0040,,
BIO00198,RDC00443,27422811,10.1158/1535-7163.mct-16-0040,,
BIO00199,RDC00161,39447346,10.1016/j.bioorg.2024.107892,,
BIO00200,RDC00144,31572857,10.1021/acsomega.9b01920,,
BIO00201,RDC00144,31572857,10.1021/acsomega.9b01920,,
BIO00202,RDC00162,31845157,10.1007/s40199-019-00318-8,,
BIO00203,RDC00163,31845157,10.1007/s40199-019-00318-8,,
BIO00204,RDC00164,38276986,10.1007/s00259-024-06623-y,,
BIO04704,RDC00164,38276986,10.1007/s00259-024-06623-y,,
BIO04705,RDC00164,38276986,10.1007/s00259-024-06623-y,,
BIO00208,RDC00166,36687076,10.1021/acsomega.2c07484,,
BIO00216,RDC00173,32347718,10.1021/acs.bioconjchem.0c00170,,
BIO00217,RDC00174,40666478,10.1021/acsmedchemlett.5c00231,,
BIO00218,RDC00175,40666478,10.1021/acsmedchemlett.5c00231,,
BIO00219,RDC00176,15471848,,,
BIO00220,RDC00177,20186943,10.1002/ibd.21231,,
BIO00222,RDC00179,24480266,10.1016/j.nucmedbio.2013.11.006,,
BIO01700,RDC00179,35423261,10.1039/d0ra09274f,,
BIO00223,RDC00179,35423261,10.1039/d0ra09274f,,
BIO00224,RDC00181,35456579,10.3390/pharmaceutics14040745,,
BIO00225,RDC00182,35456579,10.3390/pharmaceutics14040745,,
BIO00226,RDC00183,30108785,10.1039/c7md00006e,,
BIO04813,RDC00183,30108785,10.1039/c7md00006e,,
BIO04814,RDC00184,30108785,10.1039/c7md00006e,,
BIO00227,RDC00184,30108785,10.1039/c7md00006e,,
BIO00229,RDC00186,21161690,10.1007/s11307-010-0458-y,,
BIO00230,RDC00187,21161690,10.1007/s11307-010-0458-y,,
BIO00231,RDC00188,21161690,10.1007/s11307-010-0458-y,,
BIO00232,RDC00189,21161690,10.1007/s11307-010-0458-y,,
BIO00235,RDC00192,32856224,10.1007/s11307-020-01530-8,,
BIO00236,RDC00193,32856224,10.1007/s11307-020-01530-8,,
BIO00237,RDC00194,34136410,10.3389/fonc.2021.684713,,
BIO00240,RDC00197,40038219,10.1007/s11307-025-01995-5,,
BIO00241,RDC00111,40038219,10.1007/s11307-025-01995-5,,
BIO00242,RDC00198,12009947,10.1021/bc0155566,,
BIO00243,RDC00199,12009947,10.1021/bc0155566,,
BIO00244,RDC00198,12009947,10.1021/bc0155566,,
BIO00245,RDC00199,12009947,10.1021/bc0155566,,
BIO00246,RDC00200,,10.1002/jlcr.1944,,
BIO00247,RDC00201,25164771,10.1007/s00259-014-2891-7,,
BIO00251,RDC00204,19941017,10.1007/s00726-009-0382-0,,
BIO00252,RDC00205,19941017,10.1007/s00726-009-0382-0,,
BIO00253,RDC00206,19941017,10.1007/s00726-009-0382-0,,
BIO00254,RDC00207,18204838,10.1007/s00259-007-0692-y,,
BIO00255,RDC00208,18204838,10.1007/s00259-007-0692-y,,
BIO00257,RDC00207,18204838,10.1007/s00259-007-0692-y,,
BIO00258,RDC00208,18204838,10.1007/s00259-007-0692-y,,
BIO00262,RDC00212,32544337,10.1021/acs.molpharmaceut.0c00416,,
BIO00263,RDC00212,32544337,10.1021/acs.molpharmaceut.0c00416,,
BIO00264,RDC00213,38376806,10.1007/s00259-024-06634-9,,
BIO00265,RDC00214,38376806,10.1007/s00259-024-06634-9,,
BIO00266,RDC00215,38376806,10.1007/s00259-024-06634-9,,
BIO00267,RDC00216,35220162,10.1016/j.bmc.2022.116677,,
BIO00268,RDC00216,35220162,10.1016/j.bmc.2022.116677,,
BIO00273,RDC00221,31063685,10.1021/acs.bioconjchem.9b00323,,
BIO00274,RDC00222,31063685,10.1021/acs.bioconjchem.9b00323,,
BIO00275,RDC00223,31063685,10.1021/acs.bioconjchem.9b00323,,
BIO00281,RDC00229,35890224,10.3390/pharmaceutics14071327,,
BIO00282,RDC00230,35890224,10.3390/pharmaceutics14071327,,
BIO00283,RDC00231,39748758,10.1021/acs.molpharmaceut.4c01204,,
BIO00284,RDC00232,39748758,10.1021/acs.molpharmaceut.4c01204,,
BIO00285,RDC00233,39748758,10.1021/acs.molpharmaceut.4c01204,,
BIO00286,RDC00234,39748758,10.1021/acs.molpharmaceut.4c01204,,
BIO00287,RDC00235,39748758,10.1021/acs.molpharmaceut.4c01204,,
BIO00288,RDC00236,37985555,10.1186/s13550-023-01043-9,,
BIO00289,RDC00236,37985555,10.1186/s13550-023-01043-9,,
BIO00290,RDC00237,37985555,10.1186/s13550-023-01043-9,,
BIO00291,RDC00237,37985555,10.1186/s13550-023-01043-9,,
BIO00292,RDC00238,40179612,10.1016/j.ejmech.2025.117589,,
BIO00293,RDC00239,40179612,10.1016/j.ejmech.2025.117589,,
BIO00294,RDC00239,40179612,10.1016/j.ejmech.2025.117589,,
BIO00295,RDC00240,39337680,10.3390/ijms251810197,,
BIO00296,RDC00241,38246909,10.1007/s00259-023-06587-5,,
BIO00297,RDC00242,38246909,10.1007/s00259-023-06587-5,,
BIO00299,RDC00244,40177561,10.1016/j.apsb.2024.07.006,,
BIO00301,RDC00100,40540027,10.1007/s00259-025-07408-7,,
BIO00302,RDC00247,38282332,10.1021/acs.molpharmaceut.3c01024,,
BIO04706,RDC00247,38282332,10.1021/acs.molpharmaceut.3c01024,,
BIO00304,RDC00249,,10.1016/j.cej.2024.158570,,
BIO00306,RDC00251,39458969,10.3390/ph17101328,,
BIO00307,RDC00252,39373937,10.1021/acs.bioconjchem.4c00363,,
BIO00308,RDC00253,39373937,10.1021/acs.bioconjchem.4c00363,,
BIO00309,RDC00254,40066788,10.1021/acs.molpharmaceut.4c01263,,
BIO00310,RDC00255,40066788,10.1021/acs.molpharmaceut.4c01263,,
BIO00311,RDC00256,40066788,10.1021/acs.molpharmaceut.4c01263,,
EF00102,RDC00102,21247151,10.1021/mp100403y,,
EF00105,RDC00105,21247151,10.1021/mp100403y,,
EF00114,RDC00114,36207137,10.2967/jnumed.122.264749,,
EF00135,RDC00134,35993583,10.1021/acs.molpharmaceut.2c00349,,
EF00136,RDC00134,35993583,10.1021/acs.molpharmaceut.2c00349,,
EF00137,RDC00134,35993583,10.1021/acs.molpharmaceut.2c00349,,
EF00206,RDC00201,25164771,10.1007/s00259-014-2891-7,,
EF00207,RDC00202,25164771,10.1007/s00259-014-2891-7,,
EF00234,RDC00229,35890224,10.3390/pharmaceutics14071327,,
EF00235,RDC00230,35890224,10.3390/pharmaceutics14071327,,
EF00250,RDC00245,40177561,10.1016/j.apsb.2024.07.006,,
BIO00318,RDC00260,36432695,10.3390/pharmaceutics14112504,,
BIO00319,RDC00260,36432695,10.3390/pharmaceutics14112504,,
BIO00320,RDC00261,36432695,10.3390/pharmaceutics14112504,,
BIO00321,RDC00261,36432695,10.3390/pharmaceutics14112504,,
BIO00324,RDC00263,35215341,10.3390/ph15020229,,
BIO00325,RDC00264,35215341,10.3390/ph15020229,,
BIO00326,RDC00265,,10.1002/aoc.6569,,
BIO00327,RDC00265,,10.1002/aoc.6569,,
BIO00328,RDC00266,36097232,10.1007/s12149-022-01786-w,,
BIO00329,RDC00266,36097232,10.1007/s12149-022-01786-w,,
BIO00330,RDC00266,36097232,10.1007/s12149-022-01786-w,,
BIO00332,RDC00274,34952297,10.1016/j.bmc.2021.116583,,
BIO00333,RDC00274,34952297,10.1016/j.bmc.2021.116583,,
BIO00334,RDC00274,34952297,10.1016/j.bmc.2021.116583,,
BIO04708,RDC00290,32383076,10.1007/s11307-020-01500-0,,
BIO04709,RDC00290,32383076,10.1007/s11307-020-01500-0,,
BIO00336,RDC00291,32383076,10.1007/s11307-020-01500-0,,
BIO00337,RDC00291,32383076,10.1007/s11307-020-01500-0,,
BIO00338,RDC00277,34359378,10.3390/diagnostics11071295,,
BIO00339,RDC00277,34359378,10.3390/diagnostics11071295,,
BIO00344,RDC00285,32847972,10.1158/1535-7163.MCT-19-1098,,
BIO00345,RDC00285,32847972,10.1158/1535-7163.MCT-19-1098,,
BIO04710,RDC00286,34783573,10.1021/acs.molpharmaceut.1c00632,,
BIO04711,RDC00286,34783573,10.1021/acs.molpharmaceut.1c00632,,
BIO00346,RDC00286,34783573,10.1021/acs.molpharmaceut.1c00632,,
BIO00347,RDC00286,34783573,10.1021/acs.molpharmaceut.1c00632,,
BIO00349,RDC00147,32383076,10.1007/s11307-020-01500-0,,
BIO00351,RDC00288,34816721,10.1021/acs.molpharmaceut.1c00745,,
BIO00352,RDC00288,34816721,10.1021/acs.molpharmaceut.1c00745,,
BIO00354,RDC00290,32275437,10.1021/acs.molpharmaceut.1c00745,,
BIO00355,RDC00290,32275437,10.1021/acs.molpharmaceut.1c00745,,
EF00264,RDC00264,35215341,10.3390/ph15020229,,
EF00265,RDC00264,35215341,10.3390/ph15020229,,
EF00266,RDC00264,35215341,10.3390/ph15020229,,
EF00267,RDC00285,32847972,10.1158/1535-7163.MCT-19-1098,,
EF00268,RDC00285,32847972,10.1158/1535-7163.MCT-19-1098,,
BIO00572,RDC00341,19360404,10.1007/s00259-009-1123-z,,
BIO00573,RDC00341,19360404,10.1007/s00259-009-1123-z,,
BIO00578,RDC00131,21521559,10.2310/7290.2011.00006,,
BIO00579,RDC00131,21521559,10.2310/7290.2011.00006,,
BIO00591,RDC00139,24408894,10.2967/jnumed.113.129668,,
BIO00592,RDC00139,24408894,10.2967/jnumed.113.129668,,
BIO04712,RDC00139,24408894,10.2967/jnumed.113.129668,,
BIO04713,RDC00139,24408894,10.2967/jnumed.113.129668,,
BIO00599,RDC00342,20540537,10.1021/bc9000245,,
BIO00600,RDC00342,20540537,10.1021/bc9000245,,
BIO00601,RDC00343,20540537,10.1021/bc9000245,,
BIO00602,RDC00343,20540537,10.1021/bc9000245,,
BIO00603,RDC00124,20540537,10.1021/bc9000245,,
BIO00604,RDC00124,20540537,10.1021/bc9000245,,
BIO04718,RDC00124,20540537,10.1021/bc9000245,,
BIO04719,RDC00124,20540537,10.1021/bc9000245,,
BIO04714,RDC00342,20540537,10.1021/bc9000245,,
BIO04715,RDC00342,20540537,10.1021/bc9000245,,
BIO04716,RDC00343,20540537,10.1021/bc9000245,,
BIO04717,RDC00343,20540537,10.1021/bc9000245,,
BIO00605,RDC00348,22995902,10.1016/j.nucmedbio.2012.08.006,,
BIO00606,RDC00348,22995902,10.1016/j.nucmedbio.2012.08.006,,
BIO00607,RDC00349,20124048,10.2967/jnumed.109.069831,,
BIO00608,RDC00349,20124048,10.2967/jnumed.109.069831,,
BIO00609,RDC00350,24267053,10.1016/j.nucmedbio.2013.09.009,,
BIO00610,RDC00350,24267053,10.1016/j.nucmedbio.2013.09.009,,
BIO00674,RDC00359,26329363,10.1007/s00259-015-3085-7,,
BIO04720,RDC00376,,10.2310/7290.2009.00015,,
BIO04721,RDC00376,,10.2310/7290.2009.00015,,
BIO04722,RDC00377,,10.2310/7290.2009.00015,,
BIO04723,RDC00377,,10.2310/7290.2009.00015,,
BIO00665,RDC00353,22785080,10.1039/c2cc33620k,,
BIO00669,RDC00357,25001194,10.1007/s11307-014-0761-0,,
BIO00670,RDC00357,25001194,10.1007/s11307-014-0761-0,,
BIO00671,RDC00358,26329363,10.1007/s00259-015-3085-7,,
BIO00672,RDC00358,26329363,10.1007/s00259-015-3085-7,,
BIO00673,RDC00359,26329363,10.1007/s00259-015-3085-7,,
BIO00686,RDC00369,22026940, 10.1021/bc200197h,,
BIO00687,RDC00369,22026940, 10.1021/bc200197h,,
BIO00689,RDC00371,22026940, 10.1021/bc200197h,,
BIO00690,RDC00372,25592229, 10.1016/j.ejps.2015.01.002,,
BIO00691,RDC00372,25592229, 10.1016/j.ejps.2015.01.002,,
BIO00692,RDC00372,25592229, 10.1016/j.ejps.2015.01.002,,
BIO00693,RDC00372,25592229, 10.1016/j.ejps.2015.01.002,,
BIO00697,RDC00376,19397856,10.2310/7290.2009.00015,,
BIO00698,RDC00376,19397856,10.2310/7290.2009.00015,,
BIO00699,RDC00377,19397856,10.2310/7290.2009.00015,,
BIO00700,RDC00377,19397856,10.2310/7290.2009.00015,,
BIO00701,RDC00378,21740059,10.1021/bc200227d,,
BIO00702,RDC00378,21740059,10.1021/bc200227d,,
BIO00703,RDC00379,21740059,10.1021/bc200227d,,
BIO00704,RDC00379,21740059,10.1021/bc200227d,,
BIO00705,RDC00380,21740059,10.1021/bc200227d,,
BIO00706,RDC00380,21740059,10.1021/bc200227d,,
BIO00707,RDC00381,21740059,10.1021/bc200227d,,
BIO00708,RDC00381,21740059,10.1021/bc200227d,,
BIO00709,RDC00382,23875883,10.1021/mp400085d,,
BIO00710,RDC00382,23875883,10.1021/mp400085d,,
BIO00711,RDC00383,26286399,10.1021/acs.bioconjchem.5b00335,,
BIO00712,RDC00383,26286399,10.1021/acs.bioconjchem.5b00335,,
BIO00713,RDC00384,26286399,10.1021/acs.bioconjchem.5b00335,,
BIO00714,RDC00384,26286399,10.1021/acs.bioconjchem.5b00335,,
BIO00715,RDC00385,25158145,10.1021/mp5003202,,
BIO00716,RDC00386,22162137,10.1002/cmmi.435,,
BIO00717,RDC00386,22162137,10.1002/cmmi.435,,
BIO00718,RDC00387,22570527,10.1155/2012/368075,,
BIO00721,RDC00389,19320477,10.1021/bc800455p,,
BIO00722,RDC00389,19320477,10.1021/bc800455p,,
BIO00723,RDC00390,19320477,10.1021/bc800455p,,
BIO00724,RDC00390,19320477,10.1021/bc800455p,,
BIO00725,RDC00391,20829039,10.1016/j.bmcl.2010.08.082,,
BIO00726,RDC00391,20829039,10.1016/j.bmcl.2010.08.082,,
BIO00727,RDC00392,20829039,10.1016/j.bmcl.2010.08.082,,
BIO00728,RDC00392,20829039,10.1016/j.bmcl.2010.08.082,,
BIO00731,RDC00394,24448825,10.1007/s11307-013-0717-9,,
BIO00732,RDC00394,24448825,10.1007/s11307-013-0717-9,,
BIO00737,RDC00397,24448825,10.1007/s11307-013-0717-9,,
BIO00738,RDC00397,24448825,10.1007/s11307-013-0717-9,,
BIO00739,RDC00398,25144854,10.1021/bc500309r,,
BIO00740,RDC00398,25144854,10.1021/bc500309r,,
BIO00741,RDC00399,25144854,10.1021/bc500309r,,
BIO00742,RDC00399,25144854,10.1021/bc500309r,,
BIO00743,RDC00402,22445386,10.1016/j.bmc.2012.02.051,,
BIO00744,RDC00402,22445386,10.1016/j.bmc.2012.02.051,,
BIO00745,RDC00403,26518424,10.1186/s13550-015-0140-0,,
BIO00746,RDC00403,26518424,10.1186/s13550-015-0140-0,,
BIO00748,RDC00406,23238128,10.1016/j.nucmedbio.2012.10.015,,
BIO00749,RDC00406,23238128,10.1016/j.nucmedbio.2012.10.015,,
BIO00750,RDC00407,23933441,10.1016/j.ijpharm.2013.07.067,,
BIO00751,RDC00407,23933441,10.1016/j.ijpharm.2013.07.067,,
BIO00752,RDC00409,23933441,10.1016/j.ijpharm.2013.07.067,,
BIO00753,RDC00409,23933441,10.1016/j.ijpharm.2013.07.067,,
BIO00754,RDC00411,23982795,10.1007/s11307-013-0668-1,,
BIO00755,RDC00411,23982795,10.1007/s11307-013-0668-1,,
BIO00756,RDC00412,23982795,10.1007/s11307-013-0668-1,,
BIO00757,RDC00412,23982795,10.1007/s11307-013-0668-1,,
BIO00758,RDC00413,23982795,10.1007/s11307-013-0668-1,,
BIO00759,RDC00413,23982795,10.1007/s11307-013-0668-1,,
BIO00762,RDC00416,20423233,10.1089/cbr.2009.0696,,
BIO00763,RDC00416,20423233,10.1089/cbr.2009.0696,,
BIO00764,RDC00417,20423233,10.1089/cbr.2009.0696,,
BIO00765,RDC00417,20423233,10.1089/cbr.2009.0696,,
BIO00767,RDC00419,23867618,10.1016/j.trsl.2013.06.006,,
BIO00768,RDC00419,23867618,10.1016/j.trsl.2013.06.006,,
BIO00771,RDC00336,19565091,10.1039/b902210d,,
BIO00772,RDC00336,19565091,10.1039/b902210d,,
BIO00807,RDC00423,21764795,10.2967/jnumed.111.087700,,
BIO00808,RDC00424,21764795,10.2967/jnumed.111.087700,,
BIO00809,RDC00425,21764795,10.2967/jnumed.111.087700,,
BIO00810,RDC00426,24278625,10.5487/tr.2013.29.1.021,,
BIO00811,RDC00427,21989840,10.3413/nukmed-0416-11-06,,
BIO00812,RDC00185,,10.1039/C2RA22460G,,
BIO00949,RDC00185,,10.1039/C2RA22460G,,
BIO00813,RDC00431,,10.1039/C2RA22460G,,
BIO00950,RDC00431,,10.1039/C2RA22460G,,
BIO00814,RDC00435,20857099,10.1007/s00259-010-1615-x,,
BIO00816,RDC00437,24669840,10.1021/mp5000746,,
BIO00817,RDC00438,23265977,10.1016/j.nucmedbio.2012.10.010,,
BIO00818,RDC00439,21055617,10.1016/j.nucmedbio.2010.05.006,,
BIO00819,RDC00440,20556233,10.2174/1874471011003010001,,
BIO00821,RDC00443,22644563,10.1007/s10456-012-9281-1,,
BIO00822,RDC00444,24335877,10.1097/mnm.0000000000000065,,
BIO00823,RDC00445,23609239,10.1007/s12149-013-0729-1,,
BIO00824,RDC00447,25908832,10.2967/jnumed.115.155176,,
BIO00825,RDC00448,,10.1002/jlcr.2910,,
BIO00826,RDC00449,,10.1002/jlcr.2910,,
BIO00827,RDC00116,19629477,10.1007/s00259-009-1220-z,,
BIO00828,RDC00451,19324273,10.1016/j.nucmedbio.2008.12.008,,
BIO00830,RDC00445,18498129,10.1002/ijc.23575,,
BIO00831,RDC00453,18498129,10.1002/ijc.23575,,
BIO00835,RDC00456,15366951,10.1021/bc049961j,,
BIO00836,RDC00457,15366951,10.1021/bc049961j,,
BIO00838,RDC00461,17674000,10.1007/s00259-007-0497-z,,
BIO00841,RDC00467,15380745,10.1016/j.mibio.2004.06.004,,
BIO00842,RDC00469,17579472,10.1021/bc070002,,
BIO00843,RDC00468,17579472,10.1021/bc070002,,
BIO00845,RDC00480,16204722,,,
BIO00846,RDC00483,24667254,10.3779/j.issn.1009-3419.2014.03.02,,
EF00832,RDC00453,18498129,10.1002/ijc.23575,,
BIO00941,RDC00487,19067525,10.1021/mp800150r,,
BIO00942,RDC00487,19067525,10.1021/mp800150r,,
BIO00943,RDC00486,19067525,10.1021/mp800150r,,
BIO00944,RDC00486,19067525,10.1021/mp800150r,,
BIO00945,RDC00488,17127166,10.1016/j.nucmedbio.2006.09.001,,
BIO00946,RDC00488,17127166,10.1016/j.nucmedbio.2006.09.001,,
BIO00947,RDC00488,17127166,10.1016/j.nucmedbio.2006.09.001,,
BIO00948,RDC00489,17011200,10.1016/j.apradiso.2006.07.013,,
BIO00956,RDC00494,14733582,10.1021/bc0300403,,
BIO00957,RDC00495,18069778,10.1021/bc7002988,,
BIO00959,RDC00497,18069778,10.1021/bc7002988,,
BIO00962,RDC00500,17541586,10.1007/s00259-007-0451-0,,
BIO00964,RDC00116,18369617,10.1007/s00259-008-0757-6,,
BIO04724,RDC00116,18369617,10.1007/s00259-008-0757-6,,
BIO04725,RDC00501,18369617,10.1007/s00259-008-0757-6,,
BIO00965,RDC00501,18369617,10.1007/s00259-008-0757-6,,
BIO00966,RDC00327,18413379,10.2967/jnumed.107.047423,,
BIO00967,RDC00327,18413379,10.2967/jnumed.107.047423,,
BIO00968,RDC00327,18413379,10.2967/jnumed.107.047423,,
BIO00969,RDC00504,17018625,10.1158/0008-5472.CAN-06-1480,,
BIO00970,RDC00504,17018625,10.1158/0008-5472.CAN-06-1480,,
BIO00971,RDC00504,17018625,10.1158/0008-5472.CAN-06-1480,,
BIO01020,RDC00510,23525982,10.1007/s10549-013-2490-5,,
BIO01021,RDC00510,23525982,10.1007/s10549-013-2490-5,,
BIO01022,RDC00510,23525982,10.1007/s10549-013-2490-5,,
BIO01023,RDC00511,23096164,10.2967/jnumed.112.106906,,
BIO01024,RDC00511,23096164,10.2967/jnumed.112.106906,,
BIO01025,RDC00511,23096164,10.2967/jnumed.112.106906,,
BIO01026,RDC00512,26429962,10.2967/jnumed.115.162339,,
BIO01027,RDC00515,29314858,10.1021/acs.molpharmaceut.7b01000,,
BIO01028,RDC00517,25331843,10.1016/j.nucmedbio.2014.10.003,,
BIO01029,RDC00517,25331843,10.1016/j.nucmedbio.2014.10.003,,
BIO01030,RDC00517,25331843,10.1016/j.nucmedbio.2014.10.003,,
BIO01031,RDC00513,,,,
BIO01032,RDC00518,30663095,10.1002/jlcr.3707,,
BIO01033,RDC00520,26917708,10.2967/jnumed.115.167155,,
BIO01034,RDC00520,26917708,10.2967/jnumed.115.167155,,
BIO01035,RDC00514,,,,
BIO01036,RDC00521,36399598,10.1021/acs.molpharmaceut.2c00744,,
BIO01037,RDC00522,19723851,10.2967/jnumed.109.065961,,
BIO01038,RDC00523,30217810,10.2967/jnumed.118.216069,,
BIO01039,RDC00524,24964214,10.1021/mp500396e,,
BIO01040,RDC00524,24964214,10.1021/mp500396e,,
BIO01043,RDC00528,30054800,10.1007/s00726-018-2616-5,,
BIO01044,RDC00530,29786478, 10.1177/1747493018778713,,
BIO01045,RDC00531,20402512,10.1021/bc900515p,,
BIO01046,RDC00531,20402512,10.1021/bc900515p,,
BIO01047,RDC00531,20402512,10.1021/bc900515p,,
BIO01048,RDC00531,20402512,10.1021/bc900515p,,
BIO01049,RDC00531,23577209,10.1155/2013/759057,,
BIO01050,RDC00531,23577209,10.1155/2013/759057,,
BIO01053,RDC00524,22683789,10.2967/jnumed.111.100842,,
BIO01054,RDC00524,22683789,10.2967/jnumed.111.100842,,
BIO01055,RDC00524,22683789,10.2967/jnumed.111.100842,,
BIO01056,RDC00524,26847636,10.3892/ijo.2016.3369,,
BIO01057,RDC00534,29164212,10.1021/acs.molpharmaceut.7b00787,,
BIO01058,RDC00535,30224531,10.3390/molecules23092389,,
BIO01060,RDC00536,35608703,10.1038/s41598-017-05700-7,,
