entity_id,entity_category,name,synonyms,external_id,smiles,structure_image,formula,iupac_name,inchi,inchikey,pubchem_cid,mol2d_path,mol3d_path,molecular_weight,complexity,heavy_atom_count,hbond_acceptors,hbond_donors,rotatable_bonds,logp,tpsa,ligand_type,linker_type,radionuclide_symbol,radionuclide_half_life,radionuclide_emission,radionuclide_energy,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,notes,created_at,updated_at
RDC00119,RDC,[68Ga]Ga-NGR-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,"In brief, 2 μL of NGR-RGD, NOTA-c(RGDyK) or NOTA-c(KNGRE) (2 mM) was added to 150 μL buffer (0.25 M sodium acetate, pH 6.8). Subsequently, 500 μL [68Ga]GaCl3 in 0.05 M HCl (180–400 MBq) was added and mixed. The final pH of the reaction mixture was approximately 4.0. Then, the reaction mixture was heated to 90°C and reacted for 5 min. After cooling to room temperature, 68Ga-NGR-RGD, 68Ga-NOTA-c(RGDyK) (denoted as 68Ga-RGD), and 68Ga-NOTA-c(KNGRE) (denoted as 68Ga-NGR) were obtained and used for the subsequent studies without",0.99,,45-100 MBq/nmol,,,
RDC00120,RDC,[68Ga]Ga-sCD146,,,,,,,,,,,,,,,,,,,,,,,,,,"gallium-68 chloride (68GaCl3, 200.7 ± 41 MBq/500 µL) was buffered with a fresh 2M ammonium acetate solution (pH 7.4) and 10 µg of RGD2 precursor (catalogue number 9804, purchased at ABX, Radeberg, Germany) was added. The reaction mixture was stirred at room temperature for 15 min.",,,,,,
RDC00121,RDC,[68Ga]Ga-(RGD)2,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallium chloride  was obtained from the elution of a commercial TiO2-based68Ge/68Ga generator (Galliapharm, Eckert-Ziegler) using 0.1 N HCl, and buffered with a fresh 4 M ammonium acetate solution (pH 7.4) and added to sCD146 precursor (15 渭g), reaching a final pH of 6.0. The reaction mixture was stirred at room temperature for 15 min with gentle agitation every 5 min.",,,,,,
RDC00122,RDC,[99mTc]Tc(HYNIC-tetramer)(tricine)(TPPTS),,,,,,,,,,,,,,,,,,,,,,,,,,"To a vial filled with a 1.0 mL solution (pH ) 4.8) containing 5 mg of TPPTS, 6.5 mg of tricine, 40 mg of mannitol, 38.5 mg of disodium succinate hexahydrate, and 12.7 mg of succinic acid were added 0.2 mL of HYNIC-tetramer solution (100 µg/ mL in water) and 0.3 mL of Na[99mTcO4] solution (370-1850 MBq/mL). The vial was heated at 100 °C for 20-25 min in a lead-shielded water bath. After heating, the vial was placed back into the lead pig and allowed to stand at room temperature for ∼10 min.",,>95%,,,,
RDC00123,RDC,[67Ga]Ga-CD6,,,,,,,,,,,,,,,,,,,,,,,,,,"The purified NOTA-peptides (20-40 µg) were incubated with 67GaCl3 or 67Ga-citrate (2-15 MBq) in 0.2 M sodium acetate buffer (100-300 µL, pH 4.0) at 80ºC for 15 minutes. The reaction solution was then purified by analytical RP-HPLC.",55-69%,> 95%,,,,
RDC00124,RDC,[68Ga]Ga-NOTA-RGD-BBN,,,,,,,,,,,,,,,,,,,,,,,,,,"The 68Ga labeling was performed according to methods previously described [3]. Briefly, 10 nmol of NOTA-RGD, NOTA-BBN or NOTA-RGD-BBN peptide was dissolved in 500 μl of 0.1 M sodium acetate buffer and incubated with 185 MBq of 68Ga for 10 min at 40°C",90%~95%,>98%,,,,
RDC00127,RDC,[64Cu]Cu-cycam-GFK-RaftRGD,,,,,,,,,,,,,,,,,,,,,,,,,,,>98%,>98%,37 MBq/nmol,,,
RDC00128,RDC,[64Cu]Cu-cycam-GFK-(汕A)3-RaftRGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,>99.5%,37 MBq/nmol,,,
RDC00129,RDC,[18F]F-NOTA-PEG4-S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95%,2.5 mCi/μg,,,
RDC00131,RDC,[99mTc]TcO(MAG2-3G3-dimer),,,,,,,,,,,,,,,,,,,,,,,,,,"To a lyophilized vial containing 2.28 mg of NaH2PO4, 11.5 mg of Na2HPO4,50mgof α-D-glucoheptonic acid, 50 μgofSnCl2·2H2O, and25µlofthe MAG2-3G3-dimer conjugate was added 1.0 ml of Na99mTcO4 solution (10–50 mCi/ml). The vial was heated at 100°C for 20– 25 min in a lead-shielded water bath. After heating, the vial was placed back into the lead pig and allowed to stand at room temperature for ∼10 min.",,>95%,12.5 MBq/nmol,,,
RDC00132,RDC,[99mTc]TcTc–HYNIC–cHK,,,,,,,,,,,,,,,,,,,,,,,,,,"For 99mTc labeling, a mixture of 20 mg tricine (100 mg/mL in 25 mmol/L succinate buffer, pH 5.0), 740 MBq (20 mCi) Na99mTcO4, and 30 ll SnCl2 (1 lg/lL in 0.1 mol/L HCl) was successively added to 20 lg of HYNIC–cHK with constant stirring at 99 °C for 10 min. Then 100 ll of ethylenediamine-N,N0-diacetic acid (100 mg/mL) was added to the mixture with contant stirring at 99 °C for 20 min. After allowing it to cool down to room temperature, the mixture was purified with Sep-Pak C18 cartridges (Waters) as preciously described",0.45,>95%,,,,
RDC00133,RDC,[68Ga]Ga-DOTA-R01-MG,,,,,,,,,,,,,,,,,,,,,,,,,,"DOTA-
R01-MG was mixed with 68GaCl3 in sodium acetate buffer (pH
= 4.5) for 15 min at 90 °C. The mixture was purified by PD-10
column (GE Healthcare Life Sciences). Twelve 500 μL
samples were collected from the column. The active fraction
(usually 6 and 7) was then used for subsequent studies. The
purity of the product was analyzed by iTLC analysis.",32-83%,>95%,44.2 GBq/μmol,,,
RDC00134,RDC,iRGD-C6-lys(211At-ATE)-C6-DA7R,,,,,,,,,,,,,,,,,,,,,,,,,,"The labeling precursor (10 μL, 10 mg/mL in MeOH) was mixed with 211At (200 MBq, 50 μL) and N-iodosuccinimide (NIS, 5 μL, 3 mg/mL in MeOH with 1% acetic acid) in methanol. The mixture was then incubated at 37 °C for 10 min, and the labeling reaction was terminated by adding Na2S2O3 solution (5 μL, 20 mg/mL in water). The product was isolated by gel filtration on a SephadexTM G-10 column, with 0.1 mol L−1 phosphate-buffered saline (PBS, pH 7.6) acting as the eluting solution. Quality control was performed using radio-TLC (thin layer chromatography), with acetone: water (v/v = 3:1) as the mobile phase (retention factor [Rf] iRGD-C6-lys(211At-ATE)-C6-DA7R = 0−0.1, [Rf] free 211At = 0.9−1). Radiolabeling of iRGD and DA7R using 211At was performed according to the same labeling method in the above experiment.",56-84%,>95%,3.88 GBq/μmol,,,
RDC00135,RDC,[67Ga]CG6,,,,,,,,,,,,,,,,,,,,,,,,,,"The NOTA-conjugated peptides (3-40 μg) were dissolved in 100 μL of 0.2 M sodium acetate buffer (pH 4.0), and the 67GaCl3 (2-87 MBq) was dissolved in 50 μL of 1 M HEPES buffer (pH 6.0). Both solutions were incubated at 75°C for 15 min.",0.99,,,,,
RDC00136,RDC,[68Ga]Ga-Ac-CG6,,,,,,,,,,,,,,,,,,,,,,,,,,"The NOTA-conjugated peptides (5-20 μg) were dissolved in 80 μL of 1.5 M sodium acetate aqueous solution and mixed with 68GaCl3 (337-503 MBq) in 2.0 mL of 0.05 M HCl. The mixture was incubated at 75°C for 15 min and was then applied to Sep-Pak C18 Cartridges (Waters Corporation, Milford, MA).",0.99,,,,,
RDC00137,RDC,[99mTc]Tc-isoDGR),,,,,,,,,,,,,,,,,,,,,,,,,,The 99mTc-isoDGR and 99mTc-3PisoDGR2 were prepared using a lyophilized kit with a labeling yield of >99%,,>90%,,,,
RDC00138,RDC,[99mTc]Tc-HYNIC-PEG4-PisoDGR2,,,,,,,,,,,,,,,,,,,,,,,,,,The 99mTc-isoDGR and 99mTc-3PisoDGR2 were prepared using a lyophilized kit with a labeling yield of >99%,,>90%,,,,
RDC00139,RDC,[111I]In-DOTA-E-[c(RGDfK)]2,,,,,,,,,,,,,,,,,,,,,,,,,,"250 μg of DOTA-E-[c(RGDfK)]2 was dissolved in 4.5 ml of 0.25 M ammoniumacetate buffer (pH 7.0), and 160 MBq of 111InCl3 (Mallinckrodt, Petten, the Netherlands) was added. The mixture was heated for 15 min at 100°C.",,>90%,,,,
RDC00140,RDC,[99mTc]Tc-HYNIC-E-[c(RGDfK)]2,,,,,,,,,,,,,,,,,,,,,,,,,,"HYNIC-E-[c(RGDfK)]2 dissolved in 0.25 M succinate buffer (pH 5.0), added with tris(hydroxymethyl)methylglycine and triphenylphosphine-3,3',3""-trisulfonate, mixed with 99mTcO4-, heated at 100°C for 15 min. Quality control by silicagel instant thin layer chromatography and RP-HPLC with gradient elution.",,>90%,,,,
RDC00142,RDC,[111In]In-DOTA-E-[c(RGDfK)]2,,,,,,,,,,,,,,,,,,,,,,,,,,"250 μg of DOTA-E-[c(RGDfK)]2 was dissolved in 4.5 ml of 0.25 M ammoniumacetate buffer (pH 7.0), and 160 MBq of 111InCl3 (Mallinckrodt, Petten, the Netherlands) was added. The mixture was heated for 15 min at 100°C.",~40%,>95%,,,,
