drug_id,external_id,drug_name,drug_synonyms,status,Type,main_pubmed,main_doi,smiles,structure_image,chebi_id,pubchem_cid,pubchem_sid,MOA,notes,created_at,updated_at,,,,,,,,,,,,,,
RDC00040,,[99mTc]Tc-6-3,99mTc-FAPI-46-Gly-Ser-Ser,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-3 is a radiopharmaceutical featuring the 6-3 peptide labeled with the radionuclide Technetium-99m, which acts by specifically binding to the FAP target on tumor cells or neovascular endothelial cells for the SPECT diagnosis and treatment response monitoring of solid tumors",,,,,,,,,,,,,,,,,
RDC00041,,[99mTc]Tc-6-4,99mTc-FAPI-46-Gly-Lys-Lys,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-4 is a radiopharmaceutical consisting of the 6-4 peptide labeled with the radionuclide Technetium-99m, which acts by specifically binding to the FAP target on tumor and neovascular surfaces for the SPECT diagnosis and molecular staging of malignant solid tumors",,,,,,,,,,,,,,,,,
RDC00042,,[99mTc]Tc-6-5,99mTc-FAPI-46-Gly-Arg-Arg,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-5 is a radiopharmaceutical comprising the 6-5 peptide labeled with the radionuclide Technetium-99m, which functions by specifically binding to the FAP overexpressed in tumor tissues for the SPECT diagnosis and precision imaging of various malignant tumors.",,,,,,,,,,,,,,,,,
RDC00043,,[99mTc]Tc-6-6,99mTc-FAPI-46-Gly-PEG4-PEG4,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-6 is a radiopharmaceutical consisting of the 6-6 peptide labeled with the radionuclide Technetium-99m, which acts by specifically targeting the FAP overexpressed in tumor lesions for the SPECT diagnosis, angiogenesis assessment, and post-operative monitoring of malignant solid tumors.",,,,,,,,,,,,,,,,,
RDC00044,,[99mTc][Tc-(CN-C5FAPI)6]+,99mTc-(CN-C5FAPI)6;99mTc-isocyanide-FAPI,Preclinical,Diagnosis,34904839,10.1021/acs.molpharmaceut.1c00712,,,,,,"[99mTc][Tc-(CN-C5FAPI)6]+ is a 99mTc-labeled hexacoordinated cationic fibroblast activation protein inhibitor, complexed via isocyanide groups, that targets FAP for SPECT diagnostic imaging, primarily used for the lesion detection and staging of solid tumors such as breast, colorectal, and lung cancers.",,,,,,,,,,,,,,,,,
RDC00045,,[99mTc][Tc-(CN-PEG4-FAPI)6]+,99mTc-(CN-PEG4-FAPI)6;99mTc-hexakis-isocyanide-PEG4-FAPI,Preclinical,Diagnosis,34904839,10.1021/acs.molpharmaceut.1c00712,,,,,,"[99mTc][Tc-(CN-PEG4-FAPI)6]+ is a 99mTc-labeled hexacoordinated cationic fibroblast activation protein inhibitor, complexed via isocyanide groups with a PEG4 linker, that targets FAP for SPECT diagnostic imaging of solid tumors like breast, lung, and liver cancers, utilizing PEGylation to optimize pharmacokinetics and improve image contrast.",,,,,,,,,,,,,,,,,
RDC00046,,[99mTc]Tc-TPPTS-HF2,99mTc-TPPTS-HF2;99mTc-nitrido-TPPTS-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-TPPTS-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor derivative, that targets FAP for SPECT diagnostic imaging, primarily indicated for the non-invasive detection of solid tumors such as breast, non-small cell lung, and gastrointestinal cancers, offering high hydrophilicity and rapid blood clearance.",,,,,,,,,,,,,,,,,
RDC00047,,[99mTc]Tc-EDDA-HF2,99mTc-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-EDDA-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor, that targets FAP for SPECT diagnostic imaging, primarily utilized for the precise staging and lesion detection of solid tumors such as breast, lung, and nasopharyngeal cancers.",,,,,,,,,,,,,,,,,
RDC00048,,[99mTc]Tc-TPPMS HF2,99mTc-TPPMS-HF2;99mTc-labeled FAPI-HF2,Preclinical,Diagnosis,38717104,10.1021/acs.jmedchem.4c00772,,,,,,"[99mTc]Tc-TPPMS-HF2 is a 99mTc-labeled fibroblast activation protein inhibitor, that targets FAP for SPECT diagnostic imaging, primarily used for lesion identification in solid tumors like breast, lung, and head and neck cancers while optimizing biodistribution and contrast via ligand tuning.",,,,,,,,,,,,,,,,,
RDC00049,,[68Ga]Ga-Alb-FAPtp-01,68Ga-Alb-FAPtp-01;68Ga-FAPtp-01,Preclinical,Diagnosis,34415143,10.1021/acssensors.1c01316,,,,,,"[68Ga]Ga-Alb-FAPtp-01 is a 68Ga-labeled fibroblast activation protein inhibitor,conjugated with an Evans Blue derivative (Alb) for albumin binding, that targets FAP for PET/CT diagnostic imaging of solid tumors like liver and lung cancers, utilizing its albumin-binding property to prolong blood circulation and enhance tumor uptake.",,,,,,,,,,,,,,,,,
RDC00050,,[68Ga]Ga-FAPtp,68Ga-FAPtp,Preclinical,Diagnosis,34415143,10.1021/acssensors.1c01316,,,,,,"[68Ga]Ga-FAPtp is a radiopharmaceutical consisting of FAPtp labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of various solid tumors such as pancreatic or gastric cancer.",,,,,,,,,,,,,,,,,
RDC00051,,[111In]In-FAP6-19,111In-FAP6-Albumin Binder;Indium-111 FAP6-19,Preclinical,Diagnosis,39013156,10.1021/acs.jmedchem.4c00448,,,,,,"[111In]In-FAP6-19 is a radiopharmaceutical consisting of FAP6-19 labeled with Indium-111, targeting fibroblast activation protein (FAP) for the SPECT diagnosis of various solid tumors like pancreatic or lung cancer.",,,,,,,,,,,,,,,,,
RDC00053,,[99mTc]Tc-L1,99mTc-HYNIC-(D-Pro-Gly)2-FAPI,Preclinical,Diagnosis,36972467,10.1021/acs.jmedchem.2c02062,,,,,,"[99mTc]Tc-L1 is a radiopharmaceutical consisting of L1 labeled with Technetium-99m, targeting FAP receptors overexpressed in tissues for the SPECT diagnosis of associated malignant tumors.",,,,,,,,,,,,,,,,,
RDC00054,,[99mTc]Tc-L2,99mTc-HYNIC-(D-Pro-Gly)6-FAPI,Preclinical,Diagnosis,36972467,10.1021/acs.jmedchem.2c02062,,,,,,"[99mTc]Tc-L2 is a radiopharmaceutical consisting of L2 labeled with Technetium-99m, targeting fibroblast activation protein (FAP) for the SPECT diagnosis of solid tumors such as gastrointestinal or lung cancer.",,,,,,,,,,,,,,,,,
RDC00055,,[111In]In-QCP01,[111In]In-(4-quinolinoyl)-glycyl-2-cyanopyrrolidine,Preclinical,Diagnosis,33730493,10.1021/acs.jmedchem.0c02171,,,,,,"[111In]In-QCP01 is a radiopharmaceutical consisting of QCP01 labeled with Indium-111, targeting gastrin-releasing peptide receptor (GRPR) for the SPECT diagnosis of prostate or breast cancer.",,,,,,,,,,,,,,,,,
RDC00056,,[111In]In-QCP02,111In-labeled FAP-targeted agent QCP02,Preclinical,Diagnosis,33730493,10.1021/acs.jmedchem.0c02171,,,,,,"[111In]In-QCP02 is a radiopharmaceutical consisting of QCP02 labeled with Indium-111, targeting gastrin-releasing peptide receptor (GRPR) for the SPECT diagnosis of prostate or breast cancer.",,,,,,,,,,,,,,,,,
RDC00058,,Al[18F]F-NSF,[18F]AlF-NSF,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,,,,,,"Al[18F]F-NSF is a radiopharmaceutical consisting of NSF labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as gastric or lung cancer.",,,,,,,,,,,,,,,,,
RDC00059,,Al[18F]F-NSFB,[18F]AlF-NSFB,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,,,,,,"Al[18F]F-NSFB is a radiopharmaceutical consisting of NSFB labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of various solid tumors such as pancreatic or gastric cancer.",,,,,,,,,,,,,,,,,
RDC00060,,Al[18F]F-NSFBP2,[18F]AlF-NSFBP2,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,,,,,,"Al[18F]F-NSFBP2 is a radiopharmaceutical consisting of NSFBP2 labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as gastric or esophageal cancer.",,,,,,,,,,,,,,,,,
RDC00061,,Al[18F]F-NSFBP4,[18F]AlF-NSFBP4,Preclinical,Diagnosis,38726551,10.1021/acs.jmedchem.4c00544,,,,,,"Al[18F]F-NSFBP4 is a radiopharmaceutical consisting of NSFBP4 labeled with Fluorine-18 via Al-F chelation, targeting fibroblast activation protein (FAP) with high affinity for the PET diagnosis of various solid tumors (e.g., gastric or liver cancer).",,,,,,,,,,,,,,,,,
RDC00062,,[68Ga]Ga-FSDD0I,68Ga-labeled FAP inhibitor FSDD0I,Preclinical,Diagnosis,35658448,10.1021/acs.jmedchem.1c02162,,,,,,"[68Ga]Ga-FSDD0I is a radiopharmaceutical consisting of FSDD0I labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as pancreatic or gastric cancer.",,,,,,,,,,,,,,,,,
RDC00063,,[177Lu]Lu-FSDD0I,177Lu-FSDD0I,Preclinical,Treatment,35658448,10.1021/acs.jmedchem.1c02162,,,,,,"[177Lu]Lu-FSDD0I is a radiopharmaceutical consisting of FSDD0I labeled with Lutetium-177, targeting fibroblast activation protein (FAP) for the radionuclide therapy of various solid tumors such as pancreatic cancer or sarcoma.",,,,,,,,,,,,,,,,,
RDC00064,,[68Ga]Ga-FSDD3I,68Ga-FSDD3I;68Ga-FSDD-31,Preclinical,Diagnosis,35658448,10.1021/acs.jmedchem.1c02162,,,,,,"[68Ga]Ga-FSDD3I is a radiopharmaceutical consisting of FSDD3I labeled with Gallium-68, targeting fibroblast activation protein (FAP) for the PET diagnosis of solid tumors such as pancreatic or lung cancer.",,,,,,,,,,,,,,,,,
RDC00065,,[68Ga]Ga-AV02053,68Ga-AV02053,Preclinical,Diagnosis,36986548,10.3390/ph16030449,,,,,,[68Ga]Ga-AV02053 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors.,,,,,,,,,,,,,,,,,
RDC00066,,[68Ga]Ga-AV02070,68Ga-AV02070,Preclinical,Diagnosis,36986548,10.3390/ph16030449,,,,,,[68Ga]Ga-AV02070 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of prostate cancer.,,,,,,,,,,,,,,,,,
RDC00067,,[68Ga]Ga-FAPI-FUSCC-Ⅰ,68Ga-FAPI-FUSCC-I,Preclinical,Diagnosis,38179677,10.1021/acs.molpharmaceut.3c01008,,,,,,[68Ga]Ga-FAPI-FUSCC-Ⅰ is a radiopharmaceutical labeled with the radionuclide 68Ga using the DOTA chelator to specifically target Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and metastatic lesions.,,,,,,,,,,,,,,,,,
RDC00068,,[68Ga]Ga-FAPI-FUSCC-II,68Ga-FAPI-FUSCC-II,Preclinical,Diagnosis,38179677,10.1021/acs.molpharmaceut.3c01008,,,,,,"[68Ga]Ga-FAPI-FUSCC-II is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) in a dimeric form, offering higher tumor uptake and retention for the PET/CT diagnostic imaging of various solid tumors.",,,,,,,,,,,,,,,,,
RDC00069,,[68Ga]Ga-SB03178,68Ga-SB03178,Preclinical,Diagnosis,38367492,10.1016/j.ejmech.2024.116238,,,,,,[68Ga]Ga-SB03178 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and metastases.,,,,,,,,,,,,,,,,,
RDC00070,,[68Ga]Ga-SB03045,68Ga-SB03045,Preclinical,Diagnosis,37110717,10.3390/molecules28083481,,,,,,"[68Ga]Ga-SB03045 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging in the staging, recurrence detection, and therapy monitoring of prostate cancer.",,,,,,,,,,,,,,,,,
RDC00071,,[68Ga]Ga-SB03058,68Ga-SB03058,Preclinical,Diagnosis,37110717,10.3390/molecules28083481,,,,,,"[68Ga]Ga-SB03058 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Somatostatin Receptors (SSTR) for the PET/CT diagnostic imaging in the localization, staging, and treatment monitoring of neuroendocrine tumors (NETs).",,,,,,,,,,,,,,,,,
RDC00072,,[68Ga]Ga-AV01017,68Ga-AV01017,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,,,,,,"[68Ga]Ga-AV01017 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of early diagnosis, staging, and biochemical recurrence in patients with prostate cancer.",,,,,,,,,,,,,,,,,
RDC00073,,[68Ga]Ga-AV01030,68Ga-AV01030,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,,,,,,"[68Ga]Ga-AV01030 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of primary tumor assessment, nodal staging, and biochemical recurrence in patients with prostate cancer.",,,,,,,,,,,,,,,,,
RDC00074,,[68Ga]Ga-AV01038,68Ga-AV01038,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,,,,,,"[68Ga]Ga-AV01038 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Prostate-Specific Membrane Antigen (PSMA) for the PET/CT diagnostic imaging of precise staging, recurrence detection, and pre-therapeutic screening in patients with prostate cancer.",,,,,,,,,,,,,,,,,
RDC00075,,[68Ga]Ga-HTK03041,68Ga-HTK03041 ,Preclinical,Diagnosis,36770755,10.3390/molecules28031088,,,,,,[68Ga]Ga-HTK03041 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their microenvironments.,,,,,,,,,,,,,,,,,
RDC00076,,[68Ga]Ga-FAPI-07,68Ga-FAPI-07,Preclinical,Diagnosis,34593598,10.2967/jnumed.121.262533,,,,,,[68Ga]Ga-FAPI-07 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their stromal microenvironments.,,,,,,,,,,,,,,,,,
RDC00077,,[86Y]Y-FAPI-07,86Y-FAPI-07,Preclinical,Diagnosis,34593598,10.2967/jnumed.121.262533,,,,,,"[86Y]Y-FAPI-07 is a radiopharmaceutical labeled with the radionuclide 86Y that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their stromal microenvironments, often used for dosimetry in theranostics.",,,,,,,,,,,,,,,,,
RDC00078,,[177Lu]Lu-FAPI-07,177Lu-FAPI-07,Preclinical,Treatment,34593598,10.2967/jnumed.121.262533,,,,,,[177Lu]Lu-FAPI-07 is a radiopharmaceutical labeled with the radionuclide 177Lu that targets Fibroblast Activation Protein (FAP) for the targeted radionuclide therapy of various advanced or metastatic solid tumors.,,,,,,,,,,,,,,,,,
RDC00079,,[68Ga]Ga-FAPI-06,68Ga-FAPI-06,Preclinical,Diagnosis,34593598,10.2967/jnumed.121.262533,,,,,,[68Ga]Ga-FAPI-06 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and metastatic lesions.,,,,,,,,,,,,,,,,,
RDC00080,,[86Y]Y-FAPI-06,86Y-FAPI-06,Preclinical,Diagnosis,34593598,10.2967/jnumed.121.262533,,,,,,"[86Y]Y-FAPI-06 is a radiopharmaceutical labeled with the radionuclide 86Y that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors, frequently used for pharmacokinetic evaluation and dosimetry of its 90Y-labeled therapeutic counterparts.",,,,,,,,,,,,,,,,,
RDC00081,,[177Lu]Lu-FAPI-06,177Lu-FAPI-06,Preclinical,Treatment,34593598,10.2967/jnumed.121.262533,,,,,,[177Lu]Lu-FAPI-06 is a radiopharmaceutical labeled with the radionuclide 177Lu that targets Fibroblast Activation Protein (FAP) for the targeted radionuclide therapy of various advanced solid tumors and their stromal components.,,,,,,,,,,,,,,,,,
RDC00082,,Al[18F]F-DD-FAPI,Al18F-DD-FAPI ,Preclinical,Diagnosis,38039792,10.1016/j.ejmech.2023.115993,,,,,,Al[18F]F-DD-FAPI is a radiopharmaceutical labeled with the radionuclide 18F via the aluminum-fluoride (AlF) complexation method that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their stromal microenvironments.,,,,,,,,,,,,,,,,,
RDC00083,,Al[18F]F-PD-FAPI,Al18F-PD-FAPI,Preclinical,Diagnosis,38039792,10.1016/j.ejmech.2023.115993,,,,,,Al[18F]F-PD-FAPI is a dimeric radiopharmaceutical labeled with the radionuclide 18F via the aluminum-fluoride (AlF) complexation method that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their microenvironments.,,,,,,,,,,,,,,,,,
RDC00084,,[64Cu]Cu-FP-L1,64Cu-FP-L1,Preclinical,Diagnosis,35965291,10.1007/s00259-022-05933-3,,,,,,[64Cu]Cu-FP-L1 is a radiopharmaceutical labeled with the radionuclide 64Cu that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their stromal microenvironments.,,,,,,,,,,,,,,,,,
RDC00085,,[99mTc]Tc-FL-L3,99mTc-FL-L3,Preclinical,Diagnosis,32483418,10.7150/thno.41409,,,,,,[99mTc]Tc-FL-L3 is a radiopharmaceutical labeled with the radionuclide 99mTc that targets Fibroblast Activation Protein (FAP) for the SPECT/CT diagnostic imaging of various solid tumors and metastatic lesions.,,,,,,,,,,,,,,,,,
RDC00087,,[177Lu]Lu-ND-bisFAPI,177Lu-ND-bisFAPI,Preclinical,Treatment,35290473,10.1007/s00259-022-05757-1,,,,,,"[177Lu]Lu-ND-bisFAPI is a radiopharmaceutical labeled with the radionuclide 177Lu that targets Fibroblast Activation Protein (FAP) using a dimeric (bis-FAPI) structure, primarily used for the targeted radionuclide therapy (TRT) of various advanced solid tumors and their microenvironments.",,,,,,,,,,,,,,,,,
RDC00093,,[68Ga]Ga-GP01,68Ga-GP01,Phase 1,Diagnosis,41325906,10.1016/j.jconrel.2025.114475,,,,,,[68Ga]Ga-GP01 is a radiopharmaceutical labeled with the radionuclide 68Ga that targets Fibroblast Activation Protein (FAP) for the PET/CT diagnostic imaging of various solid tumors and their stromal microenvironments.,,,,,,,,,,,,,,,,,
RDC00094,,[111In]In-3BP-3940,111In-3BP-3940,Phase 1,Diagnosis,41571429,10.2967/jnumed.125.271452,,,,,,[111In]In-3BP-3940 is a radiopharmaceutical labeled with the radionuclide 111In that targets Fibroblast Activation Protein (FAP) for the SPECT/CT diagnostic imaging of various solid tumors and their stromal microenvironments.,,,,,,,,,,,,,,,,,
RDC00095,,[177Lu]Lu-3BP-3940,177Lu-3BP-3940,Phase 1,Treatment,41571429,10.2967/jnumed.125.271452,,,,,,"[177Lu]Lu-3BP-3940 is a therapeutic radiopharmaceutical targeting the neurotensin receptor 1 (NTSR1), consisting of the radionuclide Lutetium-177 (Lu-177) a small-molecule antagonist, indicated for the targeted radionuclide therapy (TRT) of NTSR1-positive solid tumors (e.g., pancreatic adenocarcinoma).",,,,,,,,,,,,,,,,,
RDC00096,,[111In]In-FAPI-46-I2,111In-FAPI-46-I2,Preclinical,Diagnosis,41200914,10.1039/d5cc05231a,,,,,,"[111In]In-FAPI-46-I2 is a diagnostic radiopharmaceutical targeting fibroblast activation protein (FAP), consisting of the radionuclide Indium-111 (In-111) complexed with a di-iodinated FAPI-derivative ligand, indicated for the SPECT imaging diagnosis of various FAP-expressing solid tumors.",,,,,,,,,,,,,,,,,
RDC00097,,[111In]In-FAPI-46-I,111In-FAPI-46-I,Preclinical,Diagnosis,41200914,10.1039/d5cc05231a,,,,,,"[111In]In-FAPI-46-I is a diagnostic radiopharmaceutical targeting fibroblast activation protein (FAP), consisting of the radionuclide Indium-111 (In-111) complexed with a mono-iodinated FAPI-46 derivative, indicated for the SPECT imaging diagnosis of various FAP-expressing solid tumors.",,,,,,,,,,,,,,,,,
RDC00098,,[68Ga]Ga-DOTA-FAPI-FUSCC-Tri,68Ga-DOTA-FAPI-FUSCC-Tri,Preclinical,Diagnosis,41349041,10.1021/acs.jmedchem.5c01873,,,,,,"[68Ga]Ga-DOTA-FAPI-FUSCC-Tri is a diagnostic radiopharmaceutical targeting fibroblast activation protein (FAP), consisting of the radionuclide Gallium-68 (Ga-68) complexed with a trimeric FAPI-derivative ligand, indicated for the PET/CT imaging diagnosis and staging of various FAP-expressing solid tumors.",,,,,,,,,,,,,,,,,
RDC00099,,[177Lu]Lu-DOTA-FAPI-FUSCC-Tri,177Lu-DOTA-FAPI-FUSCC-Tri,Preclinical,Treatment,41349041,10.1021/acs.jmedchem.5c01873,,,,,,"[177Lu]Lu-DOTA-FAPI-FUSCC-Tri is a therapeutic radiopharmaceutical targeting fibroblast activation protein (FAP), consisting of the radionuclide Lutetium-177 (Lu-177) complexed with a trimeric FAPI-derivative ligand, indicated for the targeted radionuclide therapy (TRT) of various FAP-expressing solid tumors.",,,,,,,,,,,,,,,,,
RDC00100,,[68Ga]Ga-D0103,68Ga-D0103,Preclinical,Diagnosis,40540027,10.1007/s00259-025-07408-7,,,,,,"[68Ga]Ga-D0103 is a diagnostic radiopharmaceutical targeting fibroblast activation protein (FAP), consisting of the radionuclide Gallium-68 (Ga-68) complexed with the optimized D0103 (a FAPI-derivative) ligand, indicated for the PET/CT imaging diagnosis and tumor microenvironment evaluation of various FAP-expressing solid tumors.",,,,,,,,,,,,,,,,,
RDC00101,,[68Ga]Ga-Trivehexin,Ga-68-Trivehexin,Approved,Diagnosis,34559266,10.1007/s00259-021-05559-x,,,,,,"[68Ga]Ga-Trivehexin is a PET radiotracer that specifically binds to the αvβ6-integrin receptor overexpressed on certain tumor and fibrotic cells, enabling targeted visualization and localization of these tissues via positron emission tomography.",,,,,,,,,,,,,,,,,
RDC00102,,[90Y]Y-3PRGD2,90Y-3PRGD2,Preclinical,Treatment,21247151,10.1021/mp100403y,,,,,,"[90Y]Y-3PRGD2 is a targeted radiotherapeutic agent that binds specifically to integrin αvβ3 overexpressed on tumor neovasculature and cancer cells, delivering localized beta-radiation to induce DNA damage and inhibit tumor growth.",,,,,,,,,,,,,,,,,
